evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2131.0,97047.0
0.073,1656.0,99829.5
0.108,1183.0,60295.0
0.116,714.0,15933.0
0.121,132.0,319.0
0.123,137.0,195.0
0.124,121.0,360.0
0.125,146.0,383.0
0.132,1454.6666666666667,102143.0
0.155,2024.5,130114.5
0.158,80.0,83.0
0.179,196.0,377.0
0.19,4001.0,243694.0
0.213,4001.0,268586.0
0.222,83.0,94.0
0.237,4001.0,283139.0
0.248,4001.0,273192.5
0.26,1806.0,98382.0
0.285,4001.0,282487.0
0.295,1212.0,37168.0
0.342,1128.0,10819.0
