enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
0.5,790,0.187,4001.0,0.06163980883409663,0.0648801779968052,-8.702839072632683,y=4001*exp(-((x-0.187)^2)/(2*0.0616398^2)) for x<=0.187; y=4001*exp(-((x-0.187)^2)/(2*0.0648802^2)) for x>0.187
0.51,791,0.065,4001.0,0.006127122432478468,0.09561155750555181,-13.699224895148694,y=4001*exp(-((x-0.065)^2)/(2*0.00612712^2)) for x<=0.065; y=4001*exp(-((x-0.065)^2)/(2*0.0956116^2)) for x>0.065
0.52,792,0.052,4001.0,0.0011680551148890194,0.10144772488510603,-15.907504374049786,y=4001*exp(-((x-0.052)^2)/(2*0.00116806^2)) for x<=0.052; y=4001*exp(-((x-0.052)^2)/(2*0.101448^2)) for x>0.052
0.53,793,0.086,3532.0,0.015460096580296229,0.09129524657345695,-13.960559174813477,y=3532*exp(-((x-0.086)^2)/(2*0.0154601^2)) for x<=0.086; y=3532*exp(-((x-0.086)^2)/(2*0.0912952^2)) for x>0.086
0.54,794,0.083,2572.0,0.016233671640874733,0.09718968198933693,-8.232555354336139,y=2572*exp(-((x-0.083)^2)/(2*0.0162337^2)) for x<=0.083; y=2572*exp(-((x-0.083)^2)/(2*0.0971897^2)) for x>0.083
0.55,795,0.053,4001.0,0.00149108208846866,0.10065622673902964,-14.620745961619368,y=4001*exp(-((x-0.053)^2)/(2*0.00149108^2)) for x<=0.053; y=4001*exp(-((x-0.053)^2)/(2*0.100656^2)) for x>0.053
0.56,796,0.089,2080.6666666666665,0.01955361244236595,0.09814928720720877,-5.951648124180995,y=2080.67*exp(-((x-0.089)^2)/(2*0.0195536^2)) for x<=0.089; y=2080.67*exp(-((x-0.089)^2)/(2*0.0981493^2)) for x>0.089
0.57,797,0.083,4001.0,0.012795212665040714,0.09066684230948306,-20.238070511832138,y=4001*exp(-((x-0.083)^2)/(2*0.0127952^2)) for x<=0.083; y=4001*exp(-((x-0.083)^2)/(2*0.0906668^2)) for x>0.083
0.58,798,0.139,2044.3333333333333,0.039119749605675866,0.08166902727473083,-7.10412452969563,y=2044.33*exp(-((x-0.139)^2)/(2*0.0391197^2)) for x<=0.139; y=2044.33*exp(-((x-0.139)^2)/(2*0.081669^2)) for x>0.139
0.59,799,0.06,4001.0,0.00404653471947063,0.09835005299557081,-12.894850638958355,y=4001*exp(-((x-0.06)^2)/(2*0.00404653^2)) for x<=0.06; y=4001*exp(-((x-0.06)^2)/(2*0.0983501^2)) for x>0.06
0.6,800,0.091,4001.0,0.01593272532103991,0.0889629183081341,-20.27724083835768,y=4001*exp(-((x-0.091)^2)/(2*0.0159327^2)) for x<=0.091; y=4001*exp(-((x-0.091)^2)/(2*0.0889629^2)) for x>0.091
0.61,801,0.084,2123.5,0.016064860544682574,0.09892422965839609,-5.598121439489055,y=2123.5*exp(-((x-0.084)^2)/(2*0.0160649^2)) for x<=0.084; y=2123.5*exp(-((x-0.084)^2)/(2*0.0989242^2)) for x>0.084
0.62,802,0.146,2525.0,0.04287561628268378,0.0780197192060576,-9.167246247063341,y=2525*exp(-((x-0.146)^2)/(2*0.0428756^2)) for x<=0.146; y=2525*exp(-((x-0.146)^2)/(2*0.0780197^2)) for x>0.146
0.63,803,0.056,2230.5,0.003816928089518982,0.10894226230386553,-4.154085992520219,y=2230.5*exp(-((x-0.056)^2)/(2*0.00381693^2)) for x<=0.056; y=2230.5*exp(-((x-0.056)^2)/(2*0.108942^2)) for x>0.056
0.64,804,0.113,4001.0,0.030076402575922572,0.08394541430447579,-7.828339260378016,y=4001*exp(-((x-0.113)^2)/(2*0.0300764^2)) for x<=0.113; y=4001*exp(-((x-0.113)^2)/(2*0.0839454^2)) for x>0.113
0.65,805,0.057,4001.0,0.002872656816583359,0.09911668351147723,-16.946038914111636,y=4001*exp(-((x-0.057)^2)/(2*0.00287266^2)) for x<=0.057; y=4001*exp(-((x-0.057)^2)/(2*0.0991167^2)) for x>0.057
0.66,806,0.084,2237.3333333333335,0.015271529608223377,0.09804751335946599,-5.92159709437452,y=2237.33*exp(-((x-0.084)^2)/(2*0.0152715^2)) for x<=0.084; y=2237.33*exp(-((x-0.084)^2)/(2*0.0980475^2)) for x>0.084
0.67,807,0.077,2381.0,0.012034000775926233,0.09913825818213357,-6.900837460146715,y=2381*exp(-((x-0.077)^2)/(2*0.012034^2)) for x<=0.077; y=2381*exp(-((x-0.077)^2)/(2*0.0991383^2)) for x>0.077
0.68,808,0.086,2395.0,0.01686927156105763,0.09689482050281117,-5.023542195773101,y=2395*exp(-((x-0.086)^2)/(2*0.0168693^2)) for x<=0.086; y=2395*exp(-((x-0.086)^2)/(2*0.0968948^2)) for x>0.086
0.69,809,0.061,4001.0,0.004730645218547218,0.09620667183715347,-13.403635330573122,y=4001*exp(-((x-0.061)^2)/(2*0.00473065^2)) for x<=0.061; y=4001*exp(-((x-0.061)^2)/(2*0.0962067^2)) for x>0.061
0.7,810,0.084,2229.6666666666665,0.016695936442312275,0.09877748360418144,-6.728645098285544,y=2229.67*exp(-((x-0.084)^2)/(2*0.0166959^2)) for x<=0.084; y=2229.67*exp(-((x-0.084)^2)/(2*0.0987775^2)) for x>0.084
0.71,811,0.06,2964.0,0.004320055845246363,0.10165182689192431,-13.0407770251281,y=2964*exp(-((x-0.06)^2)/(2*0.00432006^2)) for x<=0.06; y=2964*exp(-((x-0.06)^2)/(2*0.101652^2)) for x>0.06
0.72,812,0.064,4001.0,0.005753586593895621,0.0962155815733349,-12.003433789764522,y=4001*exp(-((x-0.064)^2)/(2*0.00575359^2)) for x<=0.064; y=4001*exp(-((x-0.064)^2)/(2*0.0962156^2)) for x>0.064
0.73,813,0.156,2028.0,0.04505161525281378,0.07648371714463925,-8.493113674211743,y=2028*exp(-((x-0.156)^2)/(2*0.0450516^2)) for x<=0.156; y=2028*exp(-((x-0.156)^2)/(2*0.0764837^2)) for x>0.156
0.74,814,0.121,2869.5,0.029313128093906973,0.08345908267997867,-14.445132151551615,y=2869.5*exp(-((x-0.121)^2)/(2*0.0293131^2)) for x<=0.121; y=2869.5*exp(-((x-0.121)^2)/(2*0.0834591^2)) for x>0.121
0.75,815,0.085,2627.722222222222,0.01419533016102143,0.09554181495425497,-8.296630258983043,y=2627.72*exp(-((x-0.085)^2)/(2*0.0141953^2)) for x<=0.085; y=2627.72*exp(-((x-0.085)^2)/(2*0.0955418^2)) for x>0.085
0.76,816,0.071,4001.0,0.009146018150847642,0.0952096759942523,-14.69507063795493,y=4001*exp(-((x-0.071)^2)/(2*0.00914602^2)) for x<=0.071; y=4001*exp(-((x-0.071)^2)/(2*0.0952097^2)) for x>0.071
0.77,817,0.078,2555.5,0.012346449654950182,0.09752134061259408,-5.670971380235917,y=2555.5*exp(-((x-0.078)^2)/(2*0.0123464^2)) for x<=0.078; y=2555.5*exp(-((x-0.078)^2)/(2*0.0975213^2)) for x>0.078
