evolution rate,geometric mean length lived,geometric mean species population time
0.051,398.7455328903385,1158.6785576681739
0.054,73.0,100.0
0.056,2000.9999999999998,75426.00000000003
0.057,14999.999999999996,456193.9999999996
0.059,14999.999999999996,1155181.999999999
0.061,14999.999999999996,1124410.000000001
0.062,2088.494906247058,50970.40175836673
0.066,111.00000000000001,2461.0
0.067,254.99999999999997,496.0
0.072,296.7962263911049,1617.4897217602343
0.074,4386.999999999999,231157.00000000012
0.075,14999.999999999996,1100084.0
0.081,14999.999999999996,465006.9999999996
0.083,793.0000000000001,9067.999999999998
0.086,793.0000000000001,4836.000000000001
0.091,62.0,76.0
0.095,144.0,161.0
0.096,1174.734012447073,12001.689214439775
0.099,14999.999999999996,1254838.000000001
0.101,110.9684639886486,195.59907975243644
0.107,242.0,364.00000000000006
0.109,84.0,105.0
0.115,190.0,235.0
0.116,14999.999999999996,786648.0000000001
0.12,128.0,163.0
0.126,14999.999999999996,653194.9999999994
0.13,14999.999999999996,1167180.000000001
0.132,52.0,76.0
0.133,79.0,91.0
0.136,1161.8950038622252,10704.174372645475
0.137,14999.999999999996,1019364.0000000003
0.138,1000.9999999999998,64059.00000000003
0.145,14999.999999999996,1390613.0000000005
0.147,8001.000000000002,296240.99999999994
0.149,4227.999999999999,206068.99999999997
0.15,91.0,96.0
0.154,2820.681893347271,55334.656022597606
0.159,2144.690886817959,34519.217734473634
0.161,101.0,111.00000000000001
0.162,104.0,196.0
0.167,89.0,101.0
0.171,14999.999999999996,1314342.2746545132
0.172,14999.999999999996,433938.0
0.173,2149.794641355308,92326.02165153658
0.174,535.0,3692.999999999999
0.175,132.0,147.0
0.176,451.99999999999994,3872.9999999999995
0.18,602.003322249969,3666.7233328954603
0.181,3483.0,94868.0
0.182,1.0000000000000004,2.0
0.183,1057.859391955558,9054.809281236287
0.185,182.0,254.99999999999997
0.186,14999.999999999996,563678.9999999997
0.187,129.0,1526.0
0.188,56.00000000000001,103.0
0.19,97.0,111.00000000000001
0.192,4565.000000000001,217974.00000000003
0.194,145.0,192.0
0.197,2585.0,54929.99999999999
0.2,14999.999999999996,691277.0000000001
0.201,4011.0,104646.00000000004
0.204,142.0,206.99999999999997
0.205,209.0,250.99999999999997
0.206,2000.9999999999998,60960.99999999998
0.208,138.0,155.0
0.209,1475.0000000000002,35288.00000000001
0.21,1601.0000000000005,20800.999999999996
0.214,14999.999999999996,589895.9999999995
0.217,206.0,521.0
0.218,1242.980289465605,12936.847606739442
0.219,204.99999999999997,220.00000000000003
0.223,92.0,108.0
0.224,124.0,165.0
0.225,14999.999999999996,855479.0000000005
0.227,61.0,451.99999999999994
0.232,148.0,185.0
0.234,102.0,114.99999999999999
0.235,14999.999999999996,881570.0000000005
0.237,126.0,138.0
0.238,187.92551716038992,298.213011117892
0.243,1000.9999999999998,34773.99999999999
0.245,901.4554897497713,5331.003657849056
0.246,2243.41614507875,55974.85056701804
0.248,1187.434208703792,10950.316068497752
0.25,93.0,94.0
0.251,2190.9999999999995,51145.99999999998
0.252,8001.000000000002,306204.9999999999
0.254,104.0,128.0
0.257,34.00000000000001,43.0
0.258,14999.999999999996,575315.0
0.259,334.0748419142034,2092.5372159175563
0.261,14999.999999999996,518941.00000000023
0.263,2000.9999999999998,33724.000000000015
0.264,1246.672370753439,19242.38384400435
0.265,79.0,88.0
0.268,574.5137074082742,5431.582458179199
0.271,14999.999999999996,944098.3414051749
0.273,9242.999999999998,282291.00000000006
0.274,83.0,92.0
0.278,275.0,672.0
0.279,133.0,197.0
0.281,14999.999999999996,917498.9999999997
0.283,14999.999999999996,586853.9999999994
0.284,1849.5143599871444,25146.043385596287
0.286,1115.7956802210697,8460.115188341118
0.287,176.0,235.0
0.288,109.00000000000001,113.99999999999999
0.29,14999.999999999996,509094.9999999997
0.291,231.99999999999997,297.0
0.292,529.0,1208.9999999999998
0.293,1276.0,26929.000000000004
