evolution rate,geometric mean length lived,geometric mean species population time
0.051,3499.999999999999,146089.99999999997
0.053,3499.999999999999,259139.9999999999
0.058,3499.999999999999,177891.0000000001
0.061,1303.0,145602.00000000003
0.068,181.0,297.0
0.079,1426.0000000000002,69670.00000000001
0.085,734.166193719106,6419.345761056959
0.086,701.0,3524.0
0.088,1090.9999999999998,35959.0
0.089,401.0,10403.999999999996
0.095,3499.999999999999,227313.99999999994
0.101,3499.999999999999,194688.0
0.107,999.0,66847.0
0.116,252.0,528.0000000000001
0.118,3499.999999999999,120115.00000000001
0.135,466.0000000000001,2214.9999999999995
0.136,801.0,17721.999999999993
0.137,3499.999999999999,291801.0000000001
0.14,3499.999999999999,197395.00000000003
0.142,3499.999999999999,186353.99999999994
0.144,2037.0,33100.0
0.145,217.0,2526.999999999999
0.148,1312.0000000000002,19349.000000000007
0.149,1910.0000000000005,44782.999999999985
0.158,107.0,634.9999999999999
0.163,1845.0,74001.0
0.165,3499.999999999999,149304.99999999994
0.17,1601.0000000000005,13280.000000000007
0.173,3499.999999999999,123024.0
0.176,3499.999999999999,95320.00000000004
0.181,3499.999999999999,131112.0
0.187,1192.9999999999998,19382.999999999993
0.19,3499.999999999999,164145.99999999997
0.195,3499.999999999999,84833.99999999999
0.197,1500.9999999999998,30673.0
0.199,824.0,17304.000000000007
0.201,1500.9999999999998,42709.99999999999
0.207,1800.9999999999998,23080.000000000004
0.211,1856.1233795197995,64771.44199413813
0.212,3499.999999999999,96703.00000000001
0.213,242.0,394.00000000000006
0.219,69.0,840.9999999999999
0.22,120.5873977849475,1205.056632038207
0.221,3499.999999999999,92369.99999999997
0.225,3499.999999999999,119807.00000000001
0.232,3499.999999999999,87357.00000000001
0.237,3499.999999999999,108354.0
0.243,327.00000000000006,1417.0000000000005
0.244,3499.999999999999,117466.00000000006
0.247,1016.0000000000002,18048.000000000007
0.25,199.0,2885.9999999999995
0.251,57.99999999999999,549.0
0.253,1530.9999999999998,52145.00000000001
0.254,622.0,15566.999999999996
0.26,798.0,6240.999999999997
0.261,97.0,189.0
0.262,1115.1358661616077,20037.283199076668
0.263,401.0,12964.999999999995
0.265,417.39190217348494,2538.567312481589
0.269,1079.0,18174.0
0.272,331.0,6756.999999999998
0.275,1180.9999999999998,25154.000000000004
0.294,290.0,6405.000000000001
0.31,126.0,178.0
0.317,83.0,1336.0000000000002
0.323,61.0,637.9999999999999
0.332,346.0,4937.0
0.333,432.0,6320.0
0.341,114.99999999999999,305.0
0.349,43.0,44.0
0.358,647.0,21887.999999999993
0.367,88.0,99.0
0.394,109.00000000000001,810.0000000000001
