frame,avg evo,population
7700,0.13,51,55.43%
7800,0.13110101316440606,15
7800,0.13,8,53.33%
7800,0.11,7,46.67%
7900,0.13110101316440606,273
7900,0.11,105,38.46%
7900,0.13,168,61.54%
8000,0.13110101316440606,231
8000,0.13,125,54.11%
8000,0.11,106,45.89%
8100,0.11227461875920461,221
8100,0.13,77,34.84%
8100,0.11,121,54.75%
8200,0.1264065893590139,105
8200,0.11,52,49.52%
8200,0.13,28,26.67%
8200,0.28,25,23.81%
8300,0.11396966779675789,12
8300,0.11,4,33.33%
8300,0.28,3,25.00%
8300,0.06,3,25.00%
8400,0.11396966779675789,86
8400,0.11,38,44.19%
8400,0.18,42,48.84%
8500,0.18128398273568913,352
8500,0.11,155,44.03%
8500,0.18,186,52.84%
8600,0.11396966779675789,1060
8600,0.18,484,45.66%
8600,0.11,572,53.96%
8700,0.11396966779675789,118
8700,0.18,56,47.46%
8700,0.11,60,50.85%
8800,0.11396966779675789,259
8800,0.18,104,40.15%
8800,0.11,151,58.30%
8900,0.11396966779675789,146
8900,0.18,59,40.41%
8900,0.11,86,58.90%
9000,0.11396966779675789,166
9000,0.18,73,43.98%
9000,0.11,86,51.81%
9100,0.10107285290572553,487
9100,0.1,248,50.92%
9100,0.18,238,48.87%
9200,0.10107285290572553,123
9200,0.18,59,47.97%
9200,0.1,63,51.22%
9300,0.18128398273568913,61
9300,0.1,28,45.90%
9300,0.18,32,52.46%
9400,0.10107285290572553,32
9400,0.18,12,37.50%
9400,0.1,20,62.50%
9500,0.10107285290572553,89
9500,0.18,36,40.45%
9500,0.1,53,59.55%
9600,0.18128398273568913,84
9600,0.18,59,70.24%
9700,0.18128398273568913,121
9700,0.3,53,43.80%
9700,0.18,65,53.72%
9800,0.18128398273568913,26
9800,0.3,10,38.46%
9800,0.18,14,53.85%
9900,0.18128398273568913,39
9900,0.3,11,28.21%
9900,0.18,26,66.67%
10000,0.18128398273568913,114
10000,0.36,29,25.44%
10000,0.18,77,67.54%
10100,0.18128398273568913,74
10100,0.18,49,66.22%
10100,0.36,19,25.68%
10200,0.18128398273568913,56
10200,0.18,40,71.43%
10300,0.18128398273568913,71
10300,0.18,62,87.32%
10400,0.18128398273568913,92
10400,0.36,24,26.09%
10400,0.18,67,72.83%
10500,0.18128398273568913,42
10500,0.18,33,78.57%
10600,0.18128398273568913,117
10600,0.2,32,27.35%
10600,0.18,84,71.79%
10700,0.19579154827106332,49
10700,0.18,24,48.98%
10700,0.2,25,51.02%
10800,0.18128398273568913,42
10800,0.2,19,45.24%
10800,0.18,22,52.38%
10900,0.18128398273568913,59
10900,0.18,39,66.10%
10900,0.2,20,33.90%
11000,0.18128398273568913,73
11000,0.18,43,58.90%
11000,0.2,28,38.36%
11100,0.18128398273568913,24
11100,0.2,10,41.67%
11100,0.18,13,54.17%
11200,0.18128398273568913,153
11200,0.2,74,48.37%
11200,0.18,77,50.33%
11300,0.19579154827106332,65
11300,0.2,35,53.85%
11300,0.18,28,43.08%
11400,0.18128398273568913,47
11400,0.18,25,53.19%
11400,0.2,21,44.68%
11500,0.18853776550337623,56
11500,0.2,27,48.21%
11500,0.18,28,50.00%
11600,0.19579154827106332,165
11600,0.18,74,44.85%
11600,0.2,90,54.55%
11700,0.18128398273568913,78
11700,0.18,45,57.69%
11700,0.2,31,39.74%
11800,0.19579154827106332,77
11800,0.2,39,50.65%
11800,0.18,34,44.16%
11900,0.18853776550337623,92
11900,0.2,46,50.00%
11900,0.18,45,48.91%
12000,0.18128398273568913,109
12000,0.2,38,34.86%
12000,0.18,70,64.22%
12100,0.18128398273568913,73
12100,0.14,16,21.92%
12100,0.18,40,54.79%
12100,0.2,17,23.29%
12200,0.18128398273568913,176
12200,0.18,60,34.09%
