frame,avg evo,population
0,0.21916666666666668,30
100,0.09666666666666668,407
100,0.25,144,35.38%
100,0.1,232,57.00%
200,0.09666666666666668,144
200,0.06,46,31.94%
200,0.1,95,65.97%
300,0.09666666666666668,155
300,0.06,74,47.74%
300,0.1,79,50.97%
400,0.06166666666666667,243
400,0.06,129,53.09%
400,0.1,112,46.09%
500,0.09666666666666668,164
500,0.06,81,49.39%
500,0.1,81,49.39%
600,0.09666666666666668,83
600,0.1,76,91.57%
700,0.09666666666666668,133
700,0.05,62,46.62%
700,0.1,65,48.87%
800,0.09666666666666668,142
800,0.05,62,43.66%
800,0.1,78,54.93%
900,0.09666666666666668,56
900,0.05,17,30.36%
900,0.1,36,64.29%
