evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.069,113.0,145.0
0.085,999.0,90428.0
0.108,1043.0,38369.0
0.109,381.0,8446.0
0.123,247.0,440.0
0.143,4001.0,263576.5
0.162,82.0,92.0
0.178,4001.0,219852.0
0.19,152.0,211.0
0.192,163.0,602.0
0.2,87.0,108.0
0.213,187.0,406.0
0.218,102.0,113.0
0.223,85.0,101.0
0.229,311.0,1247.0
0.238,95.0,152.0
0.248,746.0,10422.0
0.301,103.0,162.0
0.315,130.0,184.0
0.318,81.0,109.0
0.344,161.0,1413.0
0.346,236.0,1451.0
0.377,58.0,133.0
0.397,82.0,98.0
