evolution rate,geometric mean length lived,geometric mean species population time
0.051,328.0,16909.000000000007
0.052,144.0,401.0
0.061,88.0,95.0
0.064,405.99999999999994,18458.999999999996
0.068,443.00000000000006,7900.0
0.073,883.0000000000002,34399.99999999999
0.077,210.0,2169.0
0.084,501.0,27411.999999999996
0.086,81.0,91.0
0.089,87.0,107.0
0.097,543.0,38938.999999999985
0.106,420.0,17858.000000000004
0.108,819.9999999999999,66766.00000000001
0.109,150.0,256.0
0.118,53.0,82.0
0.119,87.0,89.0
0.12,751.0000000000001,50364.99999999999
0.122,484.0,26189.999999999996
0.126,94.0,96.0
0.135,101.0,110.00000000000001
0.143,2649.0,228922.99999999994
0.145,91.0,93.0
0.147,98.0,117.0
0.151,70.0,92.0
0.155,1140.3179381207683,23418.09902618058
0.157,160.0,194.0
0.165,4001.0,416898.00000000023
0.167,4001.0,281687.0000000001
0.172,95.0,107.0
0.173,166.0,218.00000000000003
0.178,4001.0,278735.00000000006
0.183,87.0,154.0
0.184,102.0,104.0
0.186,295.0,3997.999999999999
0.188,83.0,149.0
0.19,478.0,5080.0
0.195,108.0,172.0
0.197,112.99999999999999,115.99999999999999
0.198,79.0,102.0
0.202,726.0,10033.000000000004
0.203,536.0000000000001,1904.9999999999998
0.207,106.0,109.00000000000001
0.213,4001.0,293208.99999999994
0.219,381.99999999999994,1473.9999999999998
0.225,1742.0000000000005,45356.000000000015
0.228,405.99999999999994,2546.0
0.229,227.48863284990838,1110.0846349447713
0.234,75.0,92.0
0.237,350.83899441196667,7933.830978789501
0.248,87.84334215051008,486.6994056497508
0.261,84.6640419540669,96.87104830649868
0.27,672.0,11948.000000000005
0.279,95.0,97.0
0.283,4001.0,268895.99999999994
0.285,101.0,235.0
0.289,96.0,163.0
0.299,88.0,89.0
0.3,1220.0,69560.00000000001
0.301,159.0,225.99999999999997
0.303,182.0,459.0
0.307,1459.0,36215.0
0.313,76.0,86.0
0.329,260.0,7482.999999999997
0.356,136.0,161.0
0.359,92.0,160.0
0.363,394.00000000000006,6615.999999999998
0.365,434.99999999999994,2009.0
0.366,385.0,1165.9999999999998
0.373,82.0,96.0
0.374,98.0,159.0
0.375,137.0,1122.0000000000002
0.376,63.0,66.0
0.393,72.0,83.0
