frame,avg evo,population
0,0.21916666666666668,30
100,0.09666666666666668,276
100,0.1,165,59.78%
100,0.11,108,39.13%
200,0.10833333333333334,129
200,0.11,68,52.71%
200,0.1,59,45.74%
300,0.09666666666666668,174
300,0.1,92,52.87%
300,0.11,81,46.55%
400,0.10833333333333334,169
400,0.11,86,50.89%
400,0.1,82,48.52%
500,0.10833333333333334,103
500,0.11,53,51.46%
500,0.1,49,47.57%
600,0.14982666632229746,138
600,0.15,81,58.70%
600,0.22,40,28.99%
700,0.21571117985898852,244
700,0.22,126,51.64%
700,0.15,116,47.54%
800,0.21571117985898852,667
800,0.22,337,50.52%
800,0.15,328,49.18%
900,0.14982666632229746,480
900,0.15,265,55.21%
900,0.22,214,44.58%
1000,0.14982666632229746,87
1000,0.15,44,50.57%
1000,0.22,41,47.13%
1100,0.11615286633909194,66
1100,0.12,57,86.36%
1200,0.11615286633909194,112
1200,0.12,81,72.32%
1300,0.11615286633909194,85
1300,0.12,80,94.12%
1400,0.11615286633909194,89
1400,0.29,19,21.35%
1400,0.12,70,78.65%
1500,0.11615286633909194,119
1500,0.12,74,62.18%
1500,0.29,44,36.97%
1600,0.05220177933450503,598
1600,0.29,200,33.44%
1600,0.05,396,66.22%
1700,0.05220177933450503,1300
1700,0.29,453,34.85%
1700,0.05,846,65.08%
1800,0.05220177933450503,2291
1800,0.29,869,37.93%
1800,0.05,1421,62.03%
1900,0.05220177933450503,913
1900,0.29,374,40.96%
1900,0.05,538,58.93%
2000,0.05220177933450503,470
2000,0.29,165,35.11%
2000,0.05,304,64.68%
2100,0.08528931993546363,65
2100,0.09,55,84.62%
2200,0.08528931993546363,65
2200,0.29,17,26.15%
2200,0.09,44,67.69%
2300,0.08528931993546363,67
2300,0.29,15,22.39%
2300,0.09,47,70.15%
2400,0.08528931993546363,180
2400,0.09,146,81.11%
2500,0.08528931993546363,50
2500,0.09,30,60.00%
2500,0.07,19,38.00%
2600,0.18201452188297365,128
2600,0.12,55,42.97%
2600,0.24,64,50.00%
2700,0.24495542828861516,55
2700,0.12,26,47.27%
2700,0.24,28,50.91%
2800,0.11907361547733214,59
2800,0.24,23,38.98%
2800,0.12,33,55.93%
2900,0.11907361547733214,69
2900,0.24,31,44.93%
2900,0.12,37,53.62%
3000,0.11907361547733214,85
3000,0.24,28,32.94%
3000,0.12,56,65.88%
3100,0.2210511852013443,199
3100,0.24,55,27.64%
3100,0.22,91,45.73%
3100,0.21,53,26.63%
3200,0.2210511852013443,159
3200,0.22,35,22.01%
3200,0.21,69,43.40%
3200,0.24,55,34.59%
3300,0.21760417020334596,6
3300,0.21,2,33.33%
3300,0.26,2,33.33%
3400,0.08698023567384247,57
3400,0.09,50,87.72%
3500,0.08698023567384247,142
3500,0.13,40,28.17%
3500,0.09,87,61.27%
3600,0.12590661767809802,254
3600,0.13,249,98.03%
3700,0.12590661767809802,291
3700,0.13,204,70.10%
3800,0.12590661767809802,245
3800,0.24,99,40.41%
3800,0.13,143,58.37%
3900,0.12590661767809802,125
3900,0.24,36,28.80%
3900,0.13,70,56.00%
4000,0.12590661767809802,107
4000,0.06,25,23.36%
4000,0.13,69,64.49%
4100,0.10299331161742487,273
4100,0.1,154,56.41%
4100,0.24,95,34.80%
4200,0.10299331161742487,83
4200,0.24,21,25.30%
4200,0.1,60,72.29%
4300,0.10299331161742487,95
4300,0.24,22,23.16%
4300,0.1,71,74.74%
4400,0.10299331161742487,83
4400,0.24,26,31.33%
4400,0.1,56,67.47%
4500,0.10299331161742487,74
4500,0.1,59,79.73%
4600,0.07818212907194716,75
4600,0.24,18,24.00%
4600,0.08,50,66.67%
4700,0.07818212907194716,492
4700,0.08,389,79.07%
4800,0.07818212907194716,291
4800,0.09,132,45.36%
4800,0.08,156,53.61%
4900,0.07818212907194716,3842
4900,0.09,1813,47.19%
4900,0.08,1995,51.93%
5000,0.07818212907194716,2212
5000,0.09,689,31.15%
5000,0.08,1421,64.24%
5100,0.07107755073896,503
5100,0.07,473,94.04%
5200,0.07107755073896,505
5200,0.29,135,26.73%
5200,0.07,360,71.29%
5300,0.07107755073896,164
5300,0.29,52,31.71%
5300,0.07,99,60.37%
5400,0.07107755073896,107
5400,0.07,69,64.49%
5400,0.22,36,33.64%
5500,0.07107755073896,141
5500,0.22,47,33.33%
5500,0.07,90,63.83%
5600,0.22074211825933843,98
5600,0.22,84,85.71%
5700,0.22074211825933843,87
5700,0.35,36,41.38%
5700,0.22,50,57.47%
5800,0.22074211825933843,95
5800,0.22,57,60.00%
5800,0.35,37,38.95%
5900,0.22074211825933843,102
5900,0.35,25,24.51%
5900,0.22,59,57.84%
6000,0.22074211825933843,103
6000,0.22,57,55.34%
6000,0.12,42,40.78%
6100,0.22074211825933843,536
6100,0.25,250,46.64%
6100,0.22,281,52.43%
6200,0.24600798096893534,142
6200,0.22,69,48.59%
6200,0.25,72,50.70%
6300,0.24600798096893534,163
6300,0.25,82,50.31%
6300,0.22,80,49.08%
6400,0.24600798096893534,147
6400,0.25,76,51.70%
6400,0.22,70,47.62%
6500,0.22074211825933843,156
6500,0.22,79,50.64%
6500,0.25,57,36.54%
6600,0.22074211825933843,119
6600,0.25,50,42.02%
6600,0.22,68,57.14%
