enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
0.5,9581,0.091,1950.7832507146068,0.06102265560887811,0.16446439390280926,0.9631706981200324,y=1950.78*exp(-(|x-0.091|^3)/(2*0.0610227^3)) for x<=0.091; y=1950.78*exp(-(|x-0.091|^3)/(2*0.164464^3)) for x>0.091
0.55,9582,0.092,2158.31956857589,0.05680586771445162,0.15176058265129397,0.9760960966530964,y=2158.32*exp(-(|x-0.092|^2.8)/(2*0.0568059^2.8)) for x<=0.092; y=2158.32*exp(-(|x-0.092|^2.8)/(2*0.151761^2.8)) for x>0.092
0.6,9583,0.114,2160.5891499071367,0.09277609668612498,0.12969536835789597,0.976041383033627,y=2160.59*exp(-(|x-0.114|^2.4)/(2*0.0927761^2.4)) for x<=0.114; y=2160.59*exp(-(|x-0.114|^2.4)/(2*0.129695^2.4)) for x>0.114
0.65,9584,0.112,2180.697851633709,0.08361096773476147,0.13162665573732885,0.9749380387666284,y=2180.7*exp(-(|x-0.112|^2.4)/(2*0.083611^2.4)) for x<=0.112; y=2180.7*exp(-(|x-0.112|^2.4)/(2*0.131627^2.4)) for x>0.112
0.7,9585,0.128,2209.1361911965496,0.10518799166631279,0.12072488277323848,0.9718543199142656,y=2209.14*exp(-(|x-0.128|^2.2)/(2*0.105188^2.2)) for x<=0.128; y=2209.14*exp(-(|x-0.128|^2.2)/(2*0.120725^2.2)) for x>0.128
0.75,9586,0.116,2230.912864426638,0.08127794893615845,0.13444289785106237,0.9783931842490136,y=2230.91*exp(-(|x-0.116|^2.5)/(2*0.0812779^2.5)) for x<=0.116; y=2230.91*exp(-(|x-0.116|^2.5)/(2*0.134443^2.5)) for x>0.116
0.8,9587,0.124,2249.193821743456,0.09104087100808173,0.12976566509362406,0.9760015561002249,y=2249.19*exp(-(|x-0.124|^2.4)/(2*0.0910409^2.4)) for x<=0.124; y=2249.19*exp(-(|x-0.124|^2.4)/(2*0.129766^2.4)) for x>0.124
0.85,9588,0.125,2394.0999455248098,0.08701998526610821,0.1295482766853488,0.971677299120298,y=2394.1*exp(-(|x-0.125|^2.1)/(2*0.08702^2.1)) for x<=0.125; y=2394.1*exp(-(|x-0.125|^2.1)/(2*0.129548^2.1)) for x>0.125
0.9,9589,0.128,2350.6966169555617,0.08296712613105081,0.12800995197936607,0.9754803251484931,y=2350.7*exp(-(|x-0.128|^2.4)/(2*0.0829671^2.4)) for x<=0.128; y=2350.7*exp(-(|x-0.128|^2.4)/(2*0.12801^2.4)) for x>0.128
0.95,9590,0.128,2372.6250606657172,0.08435600695769398,0.1331092887521923,0.9776844257695649,y=2372.63*exp(-(|x-0.128|^2.4)/(2*0.084356^2.4)) for x<=0.128; y=2372.63*exp(-(|x-0.128|^2.4)/(2*0.133109^2.4)) for x>0.128
1.0,9591,0.119,2365.4918532256675,0.06928475864519687,0.1561280086089566,0.9521733376312495,y=2365.49*exp(-(|x-0.119|^2.3)/(2*0.0692848^2.3)) for x<=0.119; y=2365.49*exp(-(|x-0.119|^2.3)/(2*0.156128^2.3)) for x>0.119
1.05,9592,0.125,2441.2005887815208,0.07657021174324433,0.14353697494140522,0.9688296776154791,y=2441.2*exp(-(|x-0.125|^2.5)/(2*0.0765702^2.5)) for x<=0.125; y=2441.2*exp(-(|x-0.125|^2.5)/(2*0.143537^2.5)) for x>0.125
1.1,9593,0.123,2448.477540484238,0.07416531852548049,0.1542064363649413,0.9710760291005784,y=2448.48*exp(-(|x-0.123|^2.7)/(2*0.0741653^2.7)) for x<=0.123; y=2448.48*exp(-(|x-0.123|^2.7)/(2*0.154206^2.7)) for x>0.123
1.15,9594,0.127,2481.1541506673148,0.07567436708615392,0.1507969137664962,0.9732733816070838,y=2481.15*exp(-(|x-0.127|^2.7)/(2*0.0756744^2.7)) for x<=0.127; y=2481.15*exp(-(|x-0.127|^2.7)/(2*0.150797^2.7)) for x>0.127
1.2,9595,0.123,2491.3550664526597,0.07097667650106992,0.15786333661902088,0.9698845087224068,y=2491.36*exp(-(|x-0.123|^2.8)/(2*0.0709767^2.8)) for x<=0.123; y=2491.36*exp(-(|x-0.123|^2.8)/(2*0.157863^2.8)) for x>0.123
1.25,9596,0.146,2616.884356937751,0.09781863231934244,0.1483331153517952,0.958588804296631,y=2616.88*exp(-(|x-0.146|^2.1)/(2*0.0978186^2.1)) for x<=0.146; y=2616.88*exp(-(|x-0.146|^2.1)/(2*0.148333^2.1)) for x>0.146
1.3,9597,0.196,2661.7432174818855,0.18824137824736611,0.09341782644179306,0.9543716114481083,y=2661.74*exp(-(|x-0.196|^1.6)/(2*0.188241^1.6)) for x<=0.196; y=2661.74*exp(-(|x-0.196|^1.6)/(2*0.0934178^1.6)) for x>0.196
1.35,9598,0.14,2652.8153045947083,0.08539499476521535,0.15228253456047147,0.9662916978723736,y=2652.82*exp(-(|x-0.14|^2.5)/(2*0.085395^2.5)) for x<=0.14; y=2652.82*exp(-(|x-0.14|^2.5)/(2*0.152283^2.5)) for x>0.14
1.4,9599,0.142,2690.149490670019,0.08737794969305684,0.15545181960838111,0.9624363530340957,y=2690.15*exp(-(|x-0.142|^2.4)/(2*0.0873779^2.4)) for x<=0.142; y=2690.15*exp(-(|x-0.142|^2.4)/(2*0.155452^2.4)) for x>0.142
1.45,9600,0.141,2696.7960526240163,0.08500519106316606,0.16258808942135944,0.9608488723051684,y=2696.8*exp(-(|x-0.141|^2.6)/(2*0.0850052^2.6)) for x<=0.141; y=2696.8*exp(-(|x-0.141|^2.6)/(2*0.162588^2.6)) for x>0.141
1.5,9601,0.132,2728.287090524775,0.07577965699123408,0.172732827310222,0.9576193850921316,y=2728.29*exp(-(|x-0.132|^2.7)/(2*0.0757797^2.7)) for x<=0.132; y=2728.29*exp(-(|x-0.132|^2.7)/(2*0.172733^2.7)) for x>0.132
1.55,9602,0.134,2711.597393653282,0.07702383587610366,0.17094223471047193,0.9490667204632247,y=2711.6*exp(-(|x-0.134|^2.8)/(2*0.0770238^2.8)) for x<=0.134; y=2711.6*exp(-(|x-0.134|^2.8)/(2*0.170942^2.8)) for x>0.134
1.6,9603,0.144,2753.9941701160283,0.08936469795286192,0.17056895428404964,0.9523242336434972,y=2753.99*exp(-(|x-0.144|^2.5)/(2*0.0893647^2.5)) for x<=0.144; y=2753.99*exp(-(|x-0.144|^2.5)/(2*0.170569^2.5)) for x>0.144
1.65,9604,0.197,2808.746196056576,0.1624311396920608,0.11479014938831249,0.9447350898452902,y=2808.75*exp(-(|x-0.197|^1.8)/(2*0.162431^1.8)) for x<=0.197; y=2808.75*exp(-(|x-0.197|^1.8)/(2*0.11479^1.8)) for x>0.197
1.7,9605,0.176,2814.9087055884697,0.12776159349459235,0.14241327903707965,0.9414587704664305,y=2814.91*exp(-(|x-0.176|^2)/(2*0.127762^2)) for x<=0.176; y=2814.91*exp(-(|x-0.176|^2)/(2*0.142413^2)) for x>0.176
1.75,9606,0.219,2829.8132531687716,0.2077147193858122,0.09558705000718234,0.9196980041843662,y=2829.81*exp(-(|x-0.219|^1.5)/(2*0.207715^1.5)) for x<=0.219; y=2829.81*exp(-(|x-0.219|^1.5)/(2*0.0955871^1.5)) for x>0.219
1.8,9607,0.169,2782.053702962232,0.11192312481581437,0.14758255549255683,0.9537618950010079,y=2782.05*exp(-(|x-0.169|^2.3)/(2*0.111923^2.3)) for x<=0.169; y=2782.05*exp(-(|x-0.169|^2.3)/(2*0.147583^2.3)) for x>0.169
1.85,9608,0.181,2772.5932962519887,0.12514975749250232,0.13950661915235285,0.9468923040675845,y=2772.59*exp(-(|x-0.181|^2)/(2*0.12515^2)) for x<=0.181; y=2772.59*exp(-(|x-0.181|^2)/(2*0.139507^2)) for x>0.181
1.9,9609,0.195,2735.1880702976987,0.14153285406825117,0.12485192356037514,0.946084821987119,y=2735.19*exp(-(|x-0.195|^1.9)/(2*0.141533^1.9)) for x<=0.195; y=2735.19*exp(-(|x-0.195|^1.9)/(2*0.124852^1.9)) for x>0.195
1.95,9610,0.21,2726.509687243743,0.15925444357040974,0.10372752577408409,0.936833659768369,y=2726.51*exp(-(|x-0.21|^1.6)/(2*0.159254^1.6)) for x<=0.21; y=2726.51*exp(-(|x-0.21|^1.6)/(2*0.103728^1.6)) for x>0.21
2.0,9611,0.204,2648.525412675127,0.1442770066998215,0.11763477131051125,0.9344397742458799,y=2648.53*exp(-(|x-0.204|^1.8)/(2*0.144277^1.8)) for x<=0.204; y=2648.53*exp(-(|x-0.204|^1.8)/(2*0.117635^1.8)) for x>0.204
2.05,9612,0.168,2550.0408340848167,0.10046043881865904,0.14778783398788067,0.9408374736020352,y=2550.04*exp(-(|x-0.168|^2.2)/(2*0.10046^2.2)) for x<=0.168; y=2550.04*exp(-(|x-0.168|^2.2)/(2*0.147788^2.2)) for x>0.168
2.1,9613,0.173,2479.7027748998075,0.1025915863319758,0.14460275135883152,0.9465494765311958,y=2479.7*exp(-(|x-0.173|^2.1)/(2*0.102592^2.1)) for x<=0.173; y=2479.7*exp(-(|x-0.173|^2.1)/(2*0.144603^2.1)) for x>0.173
2.15,9614,0.185,2429.2982708705867,0.11459732625250428,0.12803395921095712,0.9467685361532626,y=2429.3*exp(-(|x-0.185|^2)/(2*0.114597^2)) for x<=0.185; y=2429.3*exp(-(|x-0.185|^2)/(2*0.128034^2)) for x>0.185
