selected,selection rule,model,r2,equation,points used,weighted copies used,total points,total weighted copies,best model,best r2,best equation
,lowest_r2,linear,0.006657476778636484,y=0.184538 + 0.0261698*x,35015,17917397,35015,17917397,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2))
,lowest_r2,quadratic,0.007164875479981125,y=0.157477 + 0.0877671*x - 0.032195*x^2,35015,17917397,35015,17917397,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2))
,lowest_r2,polynomial,0.0071650793365064525,y=0.155275 + 0.0955328*x - 0.0408386*x^2 + 0.00305598*x^3,35015,17917397,35015,17917397,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2))
,lowest_r2,log,0.0070244820900251526,y=0.0242563*ln(x) + 0.211715,35015,17917397,35015,17917397,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2))
yes,lowest_r2,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2)),35015,17917397,35015,17917397,bell_curve,-0.049798847657800405,y=0.197762*exp(-((x-1.4008)^2)/(2*1.68165^2))
