evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,578.0,26659.0
0.053,137.0,157.0
0.06,335.0,10186.0
0.061,67.0,92.0
0.062,569.0,32034.0
0.064,83.0,94.0
0.067,125.0,153.0
0.073,461.0,20546.0
0.084,92.0,96.0
0.085,2437.5,143734.0
0.088,118.0,184.0
0.089,74.0,102.0
0.095,88.0,92.5
0.097,3163.625,209434.75
0.098,175.0,504.0
0.102,241.0,288.0
0.108,4001.0,294414.0
0.12,4001.0,277860.0
0.129,136.0,146.0
0.132,3023.0,192475.33333333334
0.143,3774.6666666666665,263119.1666666667
0.155,3557.75,220931.25
0.156,215.0,374.0
0.159,150.0,165.0
0.163,1343.0,43861.0
0.167,2426.6666666666665,148167.66666666666
0.178,1375.0,65236.0
0.182,110.0,159.0
0.189,98.0,496.0
0.19,4001.0,274021.0
0.198,88.0,94.0
0.201,86.0,87.0
0.202,2510.0,120336.33333333333
0.213,2526.25,154696.5
0.222,142.0,160.0
0.224,96.0,104.0
0.225,2084.6666666666665,110420.66666666667
0.237,968.6666666666666,30035.333333333332
0.241,202.0,478.0
0.248,2694.0,152722.5
0.26,866.5,15750.0
0.264,235.0,640.0
0.271,153.0,340.0
0.272,3089.0,168165.0
0.283,2352.8,124391.2
0.286,132.0,143.0
0.295,1197.25,18650.5
0.298,139.0,159.0
0.307,2929.2,183798.0
0.318,1748.0,57784.0
0.327,429.0,18538.0
0.33,1752.0,89405.0
0.342,331.5,3370.5
0.344,98.0,110.0
0.349,363.0,11315.0
0.351,47.0,59.0
0.353,717.0,7746.0
0.365,198.0,2964.5
0.368,148.0,248.0
0.392,584.0,19771.0
0.394,196.0,211.0
0.398,302.0,890.0
