evolution rate,length lived,species population time,population
0.085,71,353,4
0.390583,148,243,1
0.373876,100,102,1
0.295,1957,46721,23
0.213333,4001,277950,69
0.353333,1183,22013,18
0.178333,4001,279214,69
0.377739,120,228,1
0.063752,93,161,1
0.085,1107,36938,33
0.283333,4001,248314,62
0.166667,4001,245420,61
0.12,4001,291818,72
0.213333,1037,15291,14
0.05,4001,250742,62
0.265603,119,138,1
0.388333,234,1887,8
0.155,4001,264231,66
0.178333,1032,11136,10
0.236667,4001,276697,69
0.33,1206,12979,10
0.178333,4001,297362,74
0.247377,83,93,1
0.05,3208,182989,57
0.376667,207,3848,18
0.073333,1622,76451,47
0.099344,89,93,1
0.225,4001,250764,62
0.236667,4001,278035,69
0.143333,4001,294750,73
0.143333,4001,282697,70
0.236667,4001,282618,70
0.176006,146,358,2
0.376667,377,4113,10
0.309857,219,247,1
0.384336,87,91,1
0.271667,341,3272,9
0.368492,189,336,1
0.318333,2225,77228,34
0.213333,4001,272525,68
0.296452,86,95,1
0.12,64,655,10
0.248333,4001,278465,69
0.381328,100,161,1
0.108333,4001,223325,55
0.271667,1454,23069,15
0.139309,158,355,2
0.178333,4001,264987,66
0.12,4001,303216,75
0.225,4001,253053,63
0.236667,1699,62397,36
0.248333,4001,255450,63
0.140042,89,109,1
0.33,345,12846,37
0.165858,85,98,1
0.131667,4001,304741,76
0.213333,1406,52709,37
0.096667,4001,282826,70
0.312487,109,135,1
0.224803,174,410,2
0.155,4001,312009,77
0.248333,1266,23868,18
0.225,2447,55564,22
0.121126,140,199,1
0.26,781,22419,28
0.271667,4001,253881,63
0.388333,1204,40643,33
0.35874,394,3040,7
0.155,456,6835,14
0.26,1592,53594,33
0.213333,4001,240730,60
0.201667,4001,291808,72
0.19,1255,20375,16
0.073333,3984,250172,62
0.19,4001,253990,63
0.248333,1028,28113,27
0.077055,80,101,1
0.271667,445,6198,13
0.295,1880,66873,35
0.283333,4001,237442,59
0.085,4001,262033,65
0.096667,4001,281344,70
0.210946,125,141,1
0.283333,513,7816,15
0.073333,4001,286996,71
0.201667,1201,23995,19
0.19,4001,272596,68
0.283634,286,1013,3
0.143333,135,1922,14
0.372395,162,542,3
0.05,429,25641,59
0.166667,4001,239479,59
0.05,1032,57456,55
0.050689,102,137,1
0.155,4001,250675,62
0.252842,94,199,2
0.085,400,10644,26
0.225,1780,61778,34
0.131667,4001,279219,69
0.248333,2945,81825,27
0.201667,4001,234619,58
0.225,4001,251623,62
0.178333,1030,16687,16
0.201667,4001,272747,68
0.30508,184,250,1
0.26,135,1874,13
0.152203,88,96,1
0.10117,286,1395,4
0.254126,356,13752,38
0.12,4001,292326,73
0.073333,4001,247648,61
0.085,4001,247232,61
0.085,4001,296650,74
0.384268,94,98,1
0.073333,4001,279324,69
0.201667,1697,36304,21
0.344192,94,138,1
0.365,253,1903,7
0.145539,93,106,1
0.248333,1025,33093,32
0.155,4001,279778,69
0.248333,4001,282260,70
0.132853,86,98,1
0.073333,4001,236717,59
0.248333,1021,20893,20
0.143333,4001,247102,61
0.361966,93,100,1
0.130799,202,265,1
0.306667,4001,287143,71
0.271667,2826,85819,30
0.131667,4001,259495,64
0.166667,4001,279298,69
0.351779,94,156,1
0.341667,438,5212,11
0.225,4001,281577,70
0.12,1385,99829,72
0.340723,286,689,2
0.328495,4001,257743,64
0.062705,83,88,1
0.155,4001,310254,77
0.213333,4001,297786,74
0.26631,101,108,1
0.054495,622,10173,16
0.061667,1163,10535,9
0.251607,186,461,2
0.085,4001,282854,70
0.339313,89,92,1
0.085,4001,293102,73
0.165055,53,76,1
0.318333,457,13761,30
0.139365,104,108,1
0.19,3652,230652,63
0.208939,105,108,1
0.061667,4001,238025,59
0.356165,168,246,1
0.236667,618,5160,8
0.273389,100,110,1
0.26,901,24394,27
0.271151,100,155,1
0.061667,336,4237,12
0.27777,112,214,1
0.073333,4001,285709,71
0.19,4001,268166,67
0.155,999,23183,23
0.108333,4001,242205,60
0.169217,94,109,1
0.223422,119,144,1
0.201667,278,4393,15
0.3246,175,446,2
0.155,609,13843,22
0.201667,4001,296320,74
0.392873,79,98,1
0.253704,94,97,1
0.108333,4001,281414,70
0.150992,77,101,1
0.213333,4001,280050,69
0.310303,84,90,1
0.318333,402,6339,15
0.149571,227,417,1
0.155,4001,270047,67
0.275323,77,97,1
0.376667,151,1776,11
0.299193,101,105,1
0.178333,4001,178023,44
0.073333,4001,278806,69
0.166667,4001,287123,71
0.331622,276,1741,6
0.245556,64,95,1
0.19,4001,297946,74
0.188796,286,1074,3
0.199015,286,2519,8
0.269789,77,96,1
0.236667,527,15274,28
0.372818,209,1753,8
0.213333,577,9714,16
0.296539,95,210,2
0.201667,4001,301825,75
0.295,4001,254623,63
0.376667,1185,35140,29
0.213333,4001,264630,66
0.295,2420,115153,47
0.365656,89,107,1
0.295,696,8876,12
0.104494,286,5918,20
0.271667,4001,288925,72
0.295,1309,33354,25
0.091488,106,161,1
0.201667,4001,286488,71
0.28134,92,103,1
