evolution rate,geometric mean length lived,geometric mean species population time
0.057,322.99999999999994,9239.000000000004
0.062,240.97143222517911,1722.4819444416148
0.064,84.0,105.0
0.077,348.0,11372.000000000002
0.078,77.0,86.0
0.08,76.0,125.0
0.084,172.0,285.0
0.085,451.00000000000006,13743.000000000004
0.092,89.0,97.0
0.093,217.29012862990348,1655.917872359617
0.105,223.0,415.00000000000006
0.108,333.00000000000006,35912.0
0.111,605.0,5222.000000000001
0.113,433.0,1267.9999999999998
0.114,385.0,15820.999999999995
0.122,504.0,25793.0
0.123,421.0,26808.999999999993
0.125,324.0,739.0
0.126,126.0,237.0
0.128,371.14956553928505,1040.2691959295921
0.132,2373.9999999999995,146407.99999999997
0.133,89.0,137.0
0.134,246.0,305.99999999999994
0.137,121.0,160.0
0.138,112.00000000000001,147.0
0.143,3166.844176218684,196647.77252118257
0.151,129.0,147.0
0.153,80.0,98.0
0.155,4001.0,289611.0000000001
0.158,84.0,91.0
0.167,4001.0,288518.1661680941
0.17,224.00000000000003,287.0
0.173,76.0,153.0
0.187,4001.0,275543.99999999994
0.19,2795.695825980495,113459.52175598993
0.199,1461.688749358084,48121.533017974405
0.202,501.99999999999994,10427.0
0.209,76.0,97.0
0.211,87.0,114.99999999999999
0.213,124.0,1622.0
0.218,302.0,1863.9999999999998
0.223,154.0,166.0
0.225,90.0,94.0
0.23,80.0,86.0
0.233,824.0,14100.000000000004
0.235,157.0,195.0
0.238,94.0,97.0
0.24,172.0,432.0
0.242,206.99999999999997,479.0
0.246,139.0,151.0
0.248,4001.0,263128.0000000001
0.251,101.0,149.0
0.252,4001.0,240875.99999999997
0.256,693.0,4841.0
0.258,101.0,252.99999999999997
0.26,1415.0000000000005,31740.000000000004
0.261,125.0,138.0
0.267,82.0,94.0
0.27,298.0,1552.9999999999998
0.272,1203.9999999999998,48445.00000000002
0.274,96.0,142.0
0.298,4001.0,271182.0
0.304,882.0,14827.999999999995
0.307,82.0,92.0
0.313,174.0,291.0
0.324,184.0,214.0
0.329,3542.999999999999,225293.99999999997
0.33,266.0,2916.9999999999995
0.331,90.0,97.0
0.336,80.0,92.0
0.34,93.0,103.0
0.346,86.0,94.0
0.357,127.0,147.0
0.36,480.99999999999994,6533.0
0.361,291.0,963.0000000000002
0.365,2638.0,122506.99999999997
0.372,92.0,101.0
