evolution rate,length lived,species population time,population
0.131667,87,307,3
0.05064,520,852,1
0.16746,145,192,1
0.271667,4001,264060,65
0.222764,464,1679,3
0.178333,4001,281016,70
0.096667,999,78945,79
0.108333,1999,84751,42
0.312024,46,85,1
0.178333,4001,216880,54
0.396391,241,3119,12
0.237698,90,101,1
0.24124,431,9285,21
0.349963,84,128,1
0.166667,642,2467,3
0.05,1998,160654,80
0.062229,999,118330,118
0.138017,104,112,1
0.384784,80,100,1
0.271667,407,3644,8
0.195798,84,105,1
0.150066,134,292,2
0.155,4001,269293,67
0.334293,74,83,1
0.266342,286,424,1
0.155,4001,236618,59
0.319335,259,1786,6
0.28292,91,100,1
0.13084,102,208,2
0.365,68,715,10
0.17243,210,445,2
0.376667,2621,167428,63
0.389789,248,316,1
0.27442,4001,384496,96
0.069462,1031,63311,61
0.131667,2998,264712,88
0.263837,117,144,1
0.351326,87,105,1
0.343037,103,107,1
0.16733,66,83,1
0.086142,190,299,1
0.201667,3688,167012,45
0.096667,818,58610,71
0.108333,1818,63908,35
0.119502,998,41636,41
0.178333,4001,261882,65
0.201667,1901,81848,43
0.107528,106,114,1
0.290245,148,1326,8
0.095856,242,7177,29
0.339225,354,1791,5
0.118382,729,40862,56
0.061667,5,20,4
0.085,1005,87544,87
0.32595,1530,72280,47
0.19,4001,297245,74
0.173816,88,97,1
0.120275,117,147,1
0.201667,139,2924,21
0.300963,266,409,1
0.312471,100,102,1
0.155,4001,306222,76
0.099296,291,719,2
0.13862,1484,33590,22
0.225,90,1880,20
0.203642,68,84,1
0.155,4001,273874,68
0.108333,1000,84679,84
0.304161,80,86,1
0.078299,91,148,1
0.230605,579,2846,4
0.151105,4001,261250,65
0.213333,1022,53794,52
0.180062,64,66,1
0.12,256,6828,26
0.05,1256,65506,52
0.086243,996,154522,155
0.113126,2000,119495,59
0.12176,998,216490,216
0.293637,78,96,1
0.246989,85,91,1
0.271667,628,24473,38
0.207664,85,105,1
0.236667,3633,197042,54
0.085,998,73541,73
0.242019,1003,39093,38
