evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2136.0,124831.5
0.052,115.0,309.0
0.058,56.0,60.0
0.06,67.0,88.0
0.062,1941.5,120874.0
0.063,94.0,98.0
0.072,73.0,91.0
0.073,2683.25,180945.5
0.083,114.0,203.0
0.085,4001.0,251293.0
0.098,169.0,480.0
0.1,72.0,89.0
0.103,111.0,252.0
0.106,83.0,89.0
0.108,3486.5,228472.16666666666
0.117,4001.0,283155.0
0.12,4001.0,264227.5
0.124,161.0,210.0
0.132,3350.8,229098.8
0.133,210.0,340.0
0.135,158.0,861.0
0.14,88.5,93.5
0.143,3847.0,275855.6666666667
0.15,111.0,192.0
0.154,129.0,134.0
0.155,4001.0,287390.5
0.167,4001.0,241151.66666666666
0.169,131.0,143.0
0.174,92.0,104.0
0.178,3404.6,206894.2
0.185,166.0,385.0
0.19,3451.3333333333335,211196.0
0.202,2626.6,137112.6
0.213,4001.0,288832.3333333333
0.216,427.0,6367.0
0.225,2486.0,119960.5
0.227,115.5,164.5
0.231,421.0,5024.0
0.237,2224.25,141416.0
0.238,105.0,158.0
0.243,115.0,131.0
0.248,3564.3333333333335,223094.66666666666
0.256,88.0,97.0
0.26,2976.4285714285716,177032.0
0.272,3609.0,227855.0
0.279,76.0,92.0
0.283,1886.7142857142858,89494.85714285714
0.295,2239.0,143422.5
0.297,89.0,155.0
0.3,79.0,100.0
0.305,293.0,865.0
0.307,3024.75,223261.0
0.311,266.0,605.0
0.318,1904.6666666666667,123487.66666666667
0.329,314.5,2701.0
0.33,1852.3333333333333,89347.0
0.336,97.0,104.0
0.342,2604.5,141658.5
0.348,102.0,104.0
0.353,1344.0,41936.0
0.354,91.0,152.0
0.361,131.0,190.0
0.365,698.0,12936.0
0.369,210.0,868.0
0.381,72.0,157.0
0.388,365.3333333333333,9936.0
0.392,104.0,105.0
