evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,579.0,7208.5
0.051,91.0,417.0
0.054,997.0,18617.0
0.062,352.0,8162.0
0.066,403.0,46394.0
0.071,504.0,17678.0
0.073,930.5,36730.5
0.074,383.0,12132.0
0.075,407.0,22838.0
0.077,259.0,714.0
0.078,758.0,41060.0
0.08,1259.0,38659.0
0.081,615.0,38860.0
0.083,431.5,10343.0
0.084,669.0,32323.0
0.085,788.6,48971.8
0.09,759.0,49527.0
0.091,95.0,117.0
0.095,411.0,63019.0
0.097,1930.0,241898.5
0.099,565.0,40085.5
0.1,617.0,246995.0
0.101,644.0,8402.0
0.106,573.0,12609.0
0.108,634.0,60424.0
0.11,92.0,145.0
0.111,998.0,64670.0
0.112,258.0,447.0
0.113,95.0,103.0
0.114,449.0,5849.0
0.115,616.0,207593.0
0.122,384.0,18658.5
0.125,616.0,203992.0
0.126,152.0,302.0
0.131,616.0,96557.0
0.132,615.0,13416.0
0.135,437.0,28373.0
0.136,329.0,10488.0
0.139,75.0,93.0
0.141,616.0,27541.0
0.143,259.0,4021.0
0.145,1232.0,133104.0
0.149,485.0,13896.0
0.151,342.0,13505.5
0.153,2009.0,82345.0
0.154,379.0,1566.0
0.155,582.0,8491.5
0.158,150.0,170.0
0.16,595.5,29538.5
0.161,617.0,89723.0
0.163,437.6666666666667,18668.333333333332
0.168,1001.5,30080.5
0.17,737.5,35876.0
0.171,4001.0,241509.0
0.173,4001.0,276131.0
0.175,616.0,56639.0
0.176,75.0,82.0
0.177,1179.0,31606.0
0.178,82.0,95.0
0.179,287.0,999.0
0.18,876.25,46600.5
0.184,211.0,3367.0
0.185,1271.0,48615.0
0.187,268.3333333333333,8115.333333333333
0.188,190.0,435.0
0.19,70.0,842.0
0.193,494.0,27061.0
0.195,370.0,4154.0
0.196,1161.0,89842.0
0.198,205.0,3929.0
0.2,1162.0,18268.0
0.201,626.0,11618.0
0.203,221.0,537.0
0.204,72.0,81.0
0.207,399.0,4467.0
0.209,276.0,1713.0
0.21,331.0,5053.0
0.211,106.0,163.0
0.215,105.0,137.0
0.217,112.5,147.5
0.218,576.5,35634.5
0.225,239.0,1816.0
0.226,663.0,34768.0
0.227,78.0,105.0
0.228,119.0,413.5
0.23,335.0,3535.0
0.233,382.0,4146.5
0.234,89.0,166.0
0.237,233.0,1259.0
0.238,1433.0,74624.5
0.239,1234.0,130220.0
0.242,235.0,1271.0
0.244,648.0,43473.0
0.25,87.0,103.0
0.253,177.5,2186.0
0.254,245.0,2410.0
0.255,185.0,2016.0
0.256,902.0,97383.5
0.258,198.0,1185.6666666666667
0.259,139.0,200.0
0.261,131.0,227.0
0.263,86.0,87.0
0.264,2370.0,226088.0
0.265,144.0,332.0
0.266,117.0,197.0
0.267,279.0,4363.0
0.27,134.0,161.0
0.272,160.0,3318.0
0.275,890.0,39078.0
0.276,1457.0,94536.0
0.277,77.0,155.0
0.278,70.0,89.0
0.28,97.0,102.0
0.282,206.5,6066.0
0.284,1057.0,60468.5
0.285,108.0,144.0
0.286,244.0,6921.0
0.289,113.0,117.0
0.293,100.5,255.0
0.295,66.0,676.0
0.298,94.0,98.0
0.299,118.66666666666667,475.0
0.3,85.0,187.0
0.303,78.0,93.0
0.304,914.0,101473.0
0.305,943.0,140251.0
0.306,86.0,135.0
0.309,96.0,154.0
0.311,368.0,5580.0
0.312,183.0,2922.0
0.313,317.0,3568.0
0.314,98.0,275.0
0.316,437.0,20882.0
0.318,114.0,158.0
0.319,736.0,22419.0
0.321,317.0,7097.0
0.328,180.0,604.0
0.33,101.0,216.0
0.334,191.0,8714.0
0.336,85.0,99.0
0.341,225.0,1769.0
0.342,251.0,7354.5
0.343,318.0,16862.0
0.346,515.0,57983.0
0.347,85.0,92.0
0.348,210.0,4444.0
0.35,243.0,3432.0
0.351,1086.0,135698.0
0.353,86.0,884.0
0.356,93.0,96.0
0.359,424.0,20541.5
0.363,326.5,51949.5
0.365,94.0,148.0
0.366,87.0,108.0
0.368,119.0,305.0
0.372,246.5,5972.5
0.376,90.0,96.0
0.378,309.0,8025.0
0.379,148.0,1137.0
0.382,553.0,49053.0
0.383,86.0,103.0
0.385,573.5,25205.5
0.386,221.0,3852.0
0.388,162.5,902.0
0.39,171.0,1045.0
0.396,409.0,7798.0
0.397,107.0,274.0
0.399,103.0,165.0
0.4,74.0,100.0
