evolution rate,geometric mean length lived,geometric mean species population time
0.05,186.0,545.9999999999999
0.051,281.0,1650.0
0.052,339.00000000000006,6028.0
0.059,111.00000000000001,319.0
0.062,177.9662889425972,1361.1906552720675
0.063,85.0,88.0
0.07,148.0,167.0
0.073,246.0,3210.0
0.074,101.0,303.0
0.078,105.0,106.0
0.08,648.0,5432.0
0.097,212.0,21481.000000000007
0.101,144.0,196.0
0.103,112.00000000000001,117.0
0.117,154.0,206.0
0.12,449.0,36853.999999999985
0.131,105.07140429250958,200.63648721007854
0.132,617.0,23132.000000000004
0.138,78.0,109.00000000000001
0.139,72.0,97.0
0.142,63.0,142.0
0.144,480.99999999999994,31796.00000000001
0.15,266.0,1675.0
0.151,285.447017850949,2210.0323527043674
0.152,252.99999999999997,1314.9999999999998
0.153,84.0,94.0
0.167,1334.9999999999998,72157.0
0.171,355.0,2151.9999999999995
0.174,200.99999999999997,1329.0
0.178,4001.0,272956.99999999994
0.18,493.0,17268.999999999993
0.181,83.0,104.0
0.19,4001.0,264724.00000000006
0.197,76.0,81.0
0.202,1959.1079750808176,82741.92960165635
0.203,191.49412523625887,879.5055429046481
0.205,164.0,206.0
0.21,67.0,90.0
0.213,395.00000000000006,6578.000000000002
0.218,551.0,6731.0
0.224,302.0,2481.0
0.225,95.36770941990795,302.83328747018544
0.226,143.0,186.0
0.237,1385.0000000000002,32994.0
0.241,189.0,458.0
0.248,744.2042730326131,13284.361106203034
0.249,77.0,101.0
0.257,106.0,202.0
0.262,675.0000000000001,11381.000000000002
0.263,82.0,93.0
0.266,180.0,789.0
0.268,197.0812015388581,317.63186238159415
0.27,741.0000000000001,20130.000000000007
0.272,56.99999999999999,145.0
0.276,96.0,100.0
0.281,434.0,2544.9999999999995
0.283,173.9366264124727,874.1083706454289
0.284,350.0,1296.0000000000005
0.304,143.0,303.0
0.307,61.0,69.0
0.309,351.99999999999994,1225.0000000000002
0.322,259.0,7746.999999999997
0.324,163.0,366.0
0.326,93.46657156438339,137.40087335966973
0.331,86.0,96.0
0.342,470.0,7874.999999999998
0.343,91.0,96.0
0.347,298.0,1605.0
0.349,85.0,88.0
0.353,56.00000000000001,375.0
0.358,939.0,29020.0
0.361,1425.0,32512.000000000007
0.38,523.0,5220.000000000001
0.383,79.0,80.0
0.389,94.0,204.0
0.398,103.0,109.00000000000001
