frame,avg evo,population
7700,0.17,43,47.25%
7700,0.27,47,51.65%
7800,0.27445896522559354,93
7800,0.17,41,44.09%
7800,0.27,51,54.84%
7900,0.17268228485962306,75
7900,0.17,41,54.67%
7900,0.27,33,44.00%
8000,0.17268228485962306,66
8000,0.27,25,37.88%
8000,0.17,39,59.09%
8100,0.17268228485962306,74
8100,0.06,35,47.30%
8100,0.27,15,20.27%
8100,0.17,24,32.43%
8200,0.06180800661746528,93
8200,0.27,19,20.43%
8200,0.06,59,63.44%
8300,0.06180800661746528,117
8300,0.06,96,82.05%
8400,0.06180800661746528,123
8400,0.06,116,94.31%
8500,0.06180800661746528,50
8500,0.06,28,56.00%
8500,0.27,21,42.00%
8600,0.2842152075437857,35
8600,0.3,8,22.86%
8600,0.28,22,62.86%
8700,0.2968477346772674,64
8700,0.3,31,48.44%
8700,0.28,31,48.44%
8800,0.2842152075437857,193
8800,0.28,100,51.81%
8800,0.3,91,47.15%
8900,0.2842152075437857,226
8900,0.28,119,52.65%
8900,0.3,89,39.38%
9000,0.2968477346772674,115
9000,0.28,56,48.70%
9000,0.3,58,50.43%
9100,0.2842152075437857,53
9100,0.28,27,50.94%
9100,0.3,24,45.28%
9200,0.2842152075437857,37
9200,0.28,18,48.65%
9200,0.3,17,45.95%
9300,0.07242932934783776,28
9300,0.07,26,92.86%
9400,0.07242932934783776,839
9400,0.13,389,46.36%
9400,0.07,438,52.21%
9500,0.07242932934783776,241
9500,0.07,126,52.28%
9500,0.13,114,47.30%
9600,0.12577814118286745,18
9600,0.17,5,27.78%
9600,0.13,10,55.56%
9700,0.12577814118286745,33
9700,0.13,26,78.79%
9800,0.056946769222059934,531
9800,0.13,229,43.13%
9800,0.06,299,56.31%
9900,0.056946769222059934,975
9900,0.06,489,50.15%
9900,0.13,484,49.64%
10000,0.056946769222059934,542
10000,0.06,297,54.80%
10000,0.13,245,45.20%
10100,0.15188817652694542,301
10100,0.15,182,60.47%
10100,0.31,113,37.54%
10200,0.15188817652694542,55
10200,0.31,22,40.00%
10200,0.15,32,58.18%
10300,0.15188817652694542,89
10300,0.12,20,22.47%
10300,0.15,68,76.40%
10400,0.15188817652694542,219
10400,0.15,174,79.45%
10500,0.15188817652694542,185
10500,0.17,82,44.32%
10500,0.15,100,54.05%
10600,0.16503550454325056,104
10600,0.32,39,37.50%
10600,0.17,64,61.54%
10700,0.16503550454325056,115
10700,0.32,27,23.48%
10700,0.17,86,74.78%
10800,0.16503550454325056,148
10800,0.18,59,39.86%
10800,0.17,83,56.08%
10900,0.16503550454325056,130
10900,0.17,72,55.38%
10900,0.18,56,43.08%
11000,0.16503550454325056,114
11000,0.17,59,51.75%
11000,0.18,53,46.49%
11100,0.14700077042570786,460
11100,0.15,238,51.74%
11100,0.18,220,47.83%
11200,0.14700077042570786,189
11200,0.18,87,46.03%
11200,0.15,101,53.44%
11300,0.14700077042570786,105
11300,0.18,42,40.00%
11300,0.15,63,60.00%
11400,0.14700077042570786,118
11400,0.18,55,46.61%
11400,0.15,62,52.54%
11500,0.14700077042570786,130
11500,0.15,75,57.69%
11500,0.18,54,41.54%
11600,0.1817806766631403,106
11600,0.18,102,96.23%
11700,0.08975212630699864,135
11700,0.18,54,40.00%
11700,0.09,80,59.26%
11800,0.08975212630699864,203
11800,0.18,77,37.93%
11800,0.09,125,61.58%
11900,0.08975212630699864,134
11900,0.09,70,52.24%
11900,0.18,63,47.01%
12000,0.08975212630699864,136
12000,0.09,80,58.82%
12000,0.18,55,40.44%
12100,0.1817806766631403,361
12100,0.18,222,61.50%
12100,0.27,138,38.23%
12200,0.1817806766631403,143
12200,0.18,75,52.45%
12200,0.27,66,46.15%
12300,0.1817806766631403,100
12300,0.18,51,51.00%
12300,0.27,48,48.00%
12400,0.1817806766631403,127
12400,0.27,57,44.88%
12400,0.18,69,54.33%
12500,0.1817806766631403,102
12500,0.18,51,50.00%
