timestamp,interval_seconds
1770850752.818706,6.580209
1770850753.448595,0.630092
1770850753.829948,0.381346
1770850754.134479,0.304551
1770850754.452670,0.318183
1770850755.014043,0.561381
1770850755.778344,0.764221
1770850756.183299,0.405064
1770850756.847384,0.664016
1770850757.205508,0.358194
1770850758.325970,1.120471
1770850758.921066,0.595064
1770850759.388961,0.467933
1770850759.717614,0.328648
1770850760.250643,0.532998
1770850761.222467,0.971879
1770850761.528375,0.305907
1770850762.053999,0.525629
1770850763.192457,1.138477
1770850763.486452,0.293994
1770850764.060922,0.574463
1770850764.643620,0.582715
1770850764.875606,0.231986
1770850765.787724,0.912069
1770850766.338196,0.550538
1770850766.587043,0.248840
1770850767.359846,0.772801
1770850768.253498,0.893667
1770850768.707072,0.453581
1770850769.430993,0.723924
1770850770.253547,0.822558
1770850771.597213,1.343675
1770850771.880695,0.283498
1770850772.257038,0.376346
1770850772.593771,0.336739
1770850772.930844,0.337071
1770850773.409406,0.478565
1770850774.108255,0.698749
1770850774.497579,0.389369
1770850775.133783,0.636262
1770850775.731208,0.597340
1770850776.674569,0.943473
1770850777.030932,0.356351
1770850777.347574,0.316656
1770850777.587254,0.239688
1770850777.887456,0.300204
1770850778.576927,0.689384
1770850778.956652,0.379809
1770850779.389185,0.432544
1770850780.037573,0.648387
1770850780.400225,0.362667
1770850780.668752,0.268508
1770850781.783509,1.114769
1770850782.166282,0.382787
1770850782.712899,0.546616
1770850783.846803,1.133915
1770850784.095819,0.248944
1770850784.775180,0.679429
1770850785.030596,0.255404
1770850786.282395,1.251823
1770850787.281430,0.999025
1770850787.617531,0.336128
1770850788.084949,0.467406
1770850788.325404,0.240464
1770850788.856994,0.531605
1770850789.387952,0.530904
1770850789.924472,0.536516
1770850790.337091,0.412663
1770850790.828295,0.491228
1770850791.565671,0.737390
1770850792.107917,0.542216
1770850792.437567,0.329663
1770850792.949853,0.512317
1770850793.476518,0.526667
1770850793.770513,0.294007
1770850794.921268,1.150755
1770850795.325158,0.403878
1770850795.850837,0.525679
1770850796.296995,0.446091
1770850797.149210,0.852307
1770850797.529179,0.379976
1770850797.844475,0.315287
1770850798.389485,0.545025
1770850799.057939,0.668464
1770850799.932909,0.874937
1770850800.419103,0.486190
1770850801.538245,1.119100
1770850802.207721,0.669572
1770850802.610888,0.403173
1770850802.936851,0.325871
1770850803.259947,0.323197
1770850803.565981,0.305972
1770850803.905213,0.339300
1770850804.528445,0.623237
1770850804.947630,0.419188
1770850805.671261,0.723614
1770850806.110170,0.438940
1770850806.550213,0.439968
1770850806.832675,0.282548
1770850807.515152,0.682469
1770850808.275512,0.760372
1770850808.567333,0.291792
1770850809.027380,0.460076
1770850809.353907,0.326521
1770850809.677400,0.323505
1770850810.137094,0.459697
1770850810.954442,0.817345
1770850811.427727,0.473299
1770850812.135424,0.707699
1770850812.409853,0.274449
1770850813.037476,0.627618
1770850813.299576,0.262103
1770850814.404945,1.105357
1770850814.965336,0.560335
1770850815.939240,0.973995
1770850816.319699,0.380445
1770850816.704526,0.384840
1770850817.013287,0.308748
1770850817.493135,0.479814
1770850818.011735,0.518672
1770850818.706880,0.695135
1770850819.897215,1.190312
1770850820.330394,0.433231
1770850820.635524,0.305132
1770850821.317162,0.681653
1770850821.780471,0.463303
1770850822.092812,0.312350
1770850822.420078,0.327272
1770850822.711325,0.291236
1770850823.090311,0.378981
1770850824.333089,1.242731
1770850825.297797,0.964769
1770850825.756003,0.458128
1770850826.071145,0.315229
1770850826.807954,0.736819
1770850827.121445,0.313440
1770850827.372087,0.250629
1770850828.291998,0.919991
1770850828.879331,0.587268
1770850829.290902,0.411654
1770850830.028615,0.737700
1770850830.317478,0.288872
1770850831.080200,0.762704
1770850831.436315,0.356149
1770850831.672259,0.235883
1770850832.547321,0.874962
1770850833.247753,0.700572
1770850833.620352,0.372618
1770850834.187558,0.567164
1770850834.850103,0.662619
1770850835.762743,0.912650
1770850836.061121,0.298375
1770850836.808132,0.747015
1770850837.564867,0.756734
1770850837.816093,0.251177
1770850838.116826,0.300808
1770850838.389556,0.272648
1770850838.814479,0.424984
1770850839.107599,0.293074
1770850839.894820,0.787289
1770850840.416302,0.521427
1770850841.467085,1.050852
1770850842.068749,0.601652
1770850842.626113,0.557387
1770850844.284591,1.658492
1770850844.733182,0.448605
1770850845.463543,0.730358
1770850846.101498,0.637891
1770850846.443440,0.342019
1770850847.012103,0.568656
1770850847.473188,0.461084
1770850847.920834,0.447649
1770850848.587437,0.666584
1770850848.941873,0.354455
1770850849.432283,0.490427
1770850850.930807,1.498536
1770850851.231812,0.301022
1770850851.535950,0.304141
1770850851.989815,0.453863
1770850852.726916,0.737053
1770850853.092795,0.365922
1770850853.986458,0.893659
1770850854.275945,0.289428
1770850854.528470,0.252616
1770850854.848979,0.320507
1770850855.658019,0.809031
1770850856.059703,0.401700
1770850856.400873,0.341169
1770850857.084801,0.683940
1770850857.348099,0.263302
1770850857.829017,0.480832
1770850858.033106,0.204181
1770850858.490850,0.457751
1770850858.988938,0.498087
1770850859.336175,0.347228
1770850860.411138,1.074985
1770850861.398999,0.987856
1770850861.961747,0.562774
1770850862.348940,0.387187
1770850863.135532,0.786496
1770850863.533808,0.398398
1770850863.774474,0.240664
1770850864.108204,0.333728
1770850864.524357,0.416162
1770850864.994924,0.470568
1770850865.352456,0.357536
1770850865.956202,0.603672
1770850866.360651,0.404530
1770850866.627148,0.266486
