enviorment change rate,master run,y evolution rate,arithmetic mean length lived (size source),marker size (pts^2),source row index
0.50,80,0.206,1177.38,243.585,157
0.50,80,0.207,650.421,131.707,158
0.50,80,0.208,524.929,105.064,159
0.50,80,0.209,473.778,94.2043,160
0.50,80,0.21,305.8,58.541,161
0.50,80,0.211,754.278,153.757,162
0.50,80,0.212,628.583,127.071,163
0.50,80,0.213,739.882,150.701,164
0.50,80,0.214,360.938,70.2473,165
0.50,80,0.215,273.083,51.595,166
0.50,80,0.216,710.727,144.511,167
0.50,80,0.217,266.75,50.2503,168
0.50,80,0.218,465.417,92.4292,169
0.50,80,0.219,365.333,71.1805,170
0.50,80,0.22,851.929,174.489,171
0.50,80,0.221,1069.3,220.639,172
0.50,80,0.222,337.182,65.2037,173
0.50,80,0.223,869.214,178.159,174
0.50,80,0.224,892.412,183.084,175
0.50,80,0.225,428.059,84.4977,176
0.50,80,0.226,247.5,46.1634,177
0.50,80,0.227,1167.08,241.398,178
0.50,80,0.228,113.875,17.7935,179
0.50,80,0.229,442.077,87.4739,180
0.50,80,0.23,416.733,82.0932,181
0.50,80,0.231,472.417,93.9153,182
0.50,80,0.232,414.917,81.7075,183
0.50,80,0.233,475.7,94.6124,184
0.50,80,0.234,524,104.867,185
0.50,80,0.235,502.429,100.287,186
0.50,80,0.236,315,60.4943,187
0.50,80,0.237,552.714,110.963,188
0.50,80,0.238,667.077,135.244,189
0.50,80,0.239,629.75,127.319,190
0.50,80,0.24,453.091,89.8123,191
0.50,80,0.241,845.455,173.115,192
0.50,80,0.242,518.353,103.668,193
0.50,80,0.243,446.778,88.472,194
0.50,80,0.244,597.714,120.517,195
0.50,80,0.245,592.471,119.404,196
0.50,80,0.246,782.2,159.685,197
0.50,80,0.247,425.333,83.9191,198
0.50,80,0.248,491.13,97.8885,199
0.50,80,0.249,459.7,91.2155,200
0.50,80,0.25,225.143,41.4168,201
0.50,80,0.251,511.727,102.261,202
0.50,80,0.252,351,68.1374,203
0.50,80,0.253,513.917,102.726,204
0.50,80,0.254,377.444,73.7518,205
0.50,80,0.255,807.6,165.078,206
0.50,80,0.256,541.9,108.667,207
0.50,80,0.257,400,78.5406,208
0.50,80,0.258,315,60.4943,209
0.50,80,0.259,815.5,166.755,210
0.50,80,0.26,544.235,109.163,211
0.50,80,0.261,393.214,77.0999,212
0.50,80,0.262,700.111,142.257,213
0.50,80,0.263,420.692,82.9338,214
0.50,80,0.264,376.333,73.5159,215
0.50,80,0.265,110.167,17.0062,216
0.50,80,0.266,511.846,102.287,217
0.50,80,0.267,175.333,30.8417,218
0.50,80,0.268,511.059,102.119,219
0.50,80,0.269,485.706,96.7368,220
0.50,80,0.27,402.583,79.0891,221
0.50,80,0.271,444.75,88.0414,222
0.50,80,0.272,217.556,39.8059,223
0.50,80,0.273,311.556,59.763,224
0.50,80,0.274,634.5,128.327,225
0.50,80,0.275,414.571,81.6342,226
0.50,80,0.276,352.545,68.4655,227
0.50,80,0.277,410.077,80.68,228
0.50,80,0.278,655.353,132.754,229
0.50,80,0.279,368.727,71.9011,230
0.50,80,0.28,293.412,55.9109,231
0.50,80,0.281,537.8,107.797,232
0.50,80,0.282,661.273,134.011,233
0.50,80,0.283,253.133,47.3594,234
0.50,80,0.284,325.444,62.7117,235
0.50,80,0.285,476.083,94.6938,236
0.50,80,0.286,242.857,45.1777,237
