evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,1256.0,90192.0
0.054,91.0,203.0
0.056,155.0,163.0
0.058,100.0,106.0
0.061,53.0,65.0
0.062,1428.5,78533.0
0.071,1133.0,63008.0
0.073,3412.6,206906.8
0.085,2711.25,173801.25
0.091,200.0,3019.0
0.093,88.0,120.0
0.094,148.0,216.0
0.097,1798.5714285714287,109302.85714285714
0.099,65.0,136.0
0.101,129.0,163.0
0.108,3251.25,234604.0
0.11,100.0,104.0
0.115,106.0,115.0
0.118,86.0,146.0
0.12,2943.0,198453.16666666666
0.126,86.0,99.0
0.132,3453.5714285714284,241640.14285714287
0.134,201.0,608.0
0.135,142.0,208.0
0.137,93.0,107.0
0.141,76.0,80.0
0.143,3988.25,273759.75
0.145,97.0,99.0
0.155,2927.6666666666665,205668.66666666666
0.161,82.0,88.0
0.167,3732.6,260915.0
0.176,88.0,151.0
0.178,3836.7,257780.5
0.18,151.0,277.0
0.184,222.0,904.0
0.19,3913.0,260186.375
0.191,149.0,223.0
0.192,258.0,5829.0
0.197,94.0,151.0
0.198,100.0,103.0
0.199,223.0,1308.0
0.201,54.0,55.0
0.202,4001.0,282771.71428571426
0.213,2496.6666666666665,151024.83333333334
0.219,111.0,166.0
0.222,345.5,2402.5
0.224,174.0,401.0
0.225,4001.0,267263.0
0.228,351.0,7144.0
0.229,106.0,109.0
0.237,3363.6666666666665,214117.25
0.239,62.0,74.0
0.24,104.0,112.0
0.248,4001.0,265579.0
0.25,96.0,106.0
0.257,201.0,1411.0
0.259,145.0,195.0
0.26,2796.875,168951.625
0.269,197.0,1981.6666666666667
0.27,108.0,167.0
0.272,2771.2,154510.8
0.274,105.0,108.0
0.276,193.0,309.0
0.281,391.0,8427.0
0.283,2751.25,169820.75
0.284,132.0,159.0
0.287,90.0,148.0
0.295,1851.0,97238.0
0.298,103.0,149.0
0.302,93.0,157.0
0.305,215.0,3052.0
0.307,1784.4,74079.2
0.309,94.0,206.0
0.318,1729.8333333333333,97761.16666666667
0.321,59.0,64.0
0.322,82.0,153.0
0.324,111.0,209.0
0.33,2031.0,136038.5
0.341,206.0,263.0
0.342,342.0,1511.0
0.348,98.0,102.0
0.353,2376.5,138147.0
0.364,88.0,199.0
0.365,89.0,106.0
0.368,86.0,93.0
0.372,201.0,569.0
0.377,1053.0,27726.0
0.38,139.0,153.0
0.387,78.0,100.0
0.394,83.5,95.0
0.396,66.0,100.0
0.399,65.0,86.0
