evolution rate,geometric mean length lived,geometric mean species population time
0.057,375.0,18465.999999999993
0.058,139.0,167.0
0.076,381.99999999999994,20079.999999999993
0.088,381.0,17473.999999999996
0.09,375.0,3127.0
0.093,168.0,545.0
0.097,408.0,40335.99999999999
0.108,644.0,33739.99999999999
0.12,336.22314019115345,1645.8146918775512
0.128,89.9944442729661,151.52557539900647
0.129,122.0,161.0
0.132,2525.0,220876.00000000006
0.143,4001.0,273738.0
0.153,593.0,2030.0
0.155,4001.0,275357.7890890321
0.167,82.0,149.0
0.17,84.0,101.0
0.178,509.0,15262.000000000005
0.181,174.0,450.0
0.184,264.0,558.0
0.185,112.00000000000001,346.0
0.191,156.0,215.0
0.213,1291.0,92450.99999999999
0.224,162.0,649.9999999999999
0.225,2279.7585398458327,66771.76102215672
0.226,639.0,21511.0
0.227,89.0,101.0
0.231,65.0,78.0
0.237,496.0,3132.9999999999995
0.247,55.00000000000001,99.0
0.248,730.0000000000001,8358.0
0.251,1908.9999999999995,77313.99999999997
0.253,84.0,90.0
0.258,91.0,142.0
0.265,336.0,2249.9999999999995
0.266,368.99999999999994,1574.0
0.272,126.54643416548726,550.9845732867664
0.283,1347.0000000000002,28827.999999999985
0.295,4001.0,278738.0
0.297,291.0,1741.0
0.301,151.0,1035.9999999999998
0.307,111.85705163287652,280.8273490954896
0.315,80.0,88.0
0.317,94.0,112.99999999999999
0.318,502.18721608579403,13546.791206776616
0.32,90.0,115.99999999999999
0.322,101.0,111.00000000000001
0.323,79.0,90.0
0.329,98.0,143.0
0.332,92.0,153.0
0.336,282.0,928.0000000000001
0.337,98.0,118.0
0.342,63.0,152.0
0.348,4001.0,252259.00000000006
0.352,97.0,101.0
0.353,64.0,385.0
0.354,1399.3398443551873,89816.64517226191
0.366,76.0,88.0
0.386,313.0,2316.0000000000005
0.393,120.0,145.0
