evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.058,141.0,198.0
0.073,55.0,1363.0
0.096,80.0,96.5
0.12,4001.0,276542.0
0.124,91.0,94.0
0.143,2522.0,156120.0
0.144,88.0,115.0
0.155,4001.0,309943.0
0.159,93.0,149.0
0.178,4001.0,281037.0
0.19,4001.0,278509.0
0.26,504.0,9201.0
0.272,4001.0,234932.0
0.28,84.0,129.0
0.283,1305.0,50863.5
0.303,85.0,129.0
0.305,76.0,86.0
0.318,1147.0,46329.0
0.321,146.0,214.0
0.339,75.0,101.0
0.342,302.0,8952.0
0.377,672.0,22584.0
