timestamp,interval_seconds
1770621877.588259,6.581688
1770621882.062812,4.476627
1770621882.782517,0.719729
1770621883.244178,0.461684
1770648125.662516,26242.207514
1770648126.593584,0.931118
1770648127.072277,0.478677
1770648127.527902,0.455600
1770648127.970381,0.442501
1770648129.129920,1.159550
1770648130.092006,0.961993
1770648130.599331,0.507374
1770648131.036738,0.437464
1770648131.809733,0.772935
1770648132.312483,0.502768
1770648132.749022,0.436551
1770648133.671003,0.921982
1770648134.163792,0.492732
1770648135.482271,1.318476
1770648136.208080,0.725847
1770648136.615758,0.407690
1770648137.069692,0.453921
1770648137.847709,0.778006
1770648138.190412,0.342698
1770648139.100601,0.910182
1770648139.613779,0.513173
1770648140.182315,0.568525
1770648140.718688,0.536392
1770648141.769783,1.051024
1770648142.369735,0.600012
1770648142.852935,0.483096
1770648143.631727,0.778895
1770648144.305374,0.673616
1770648144.761155,0.455792
1770648145.315475,0.554232
1770648146.377389,1.062009
1770648146.871215,0.493820
1770648147.392313,0.521090
1770648148.012324,0.619945
1770648148.356671,0.344415
1770648149.548267,1.191585
1770648150.053404,0.505146
1770648151.931478,1.878055
1770648153.309435,1.377890
1770648153.737879,0.428506
1770648154.088822,0.350906
1770648154.557246,0.468463
1770648155.426241,0.868941
1770648156.280201,0.853987
1770648156.978332,0.698101
1770648157.495435,0.517120
1770648158.251868,0.756447
1770648158.636485,0.384611
1770648159.256770,0.620294
1770648159.697550,0.440787
1770648160.358225,0.660664
1770648160.752778,0.394526
1770648161.335657,0.582890
1770648161.826519,0.490856
1770648162.487979,0.661451
1770648163.398014,0.910034
1770648164.553420,1.155392
1770648165.008583,0.455157
1770648165.508313,0.499748
1770648165.985145,0.476819
1770648166.686141,0.701005
1770648167.433497,0.747341
1770648167.888964,0.455462
1770648168.745462,0.856515
1770648169.154883,0.409380
1770648169.782696,0.627811
1770648170.270575,0.487833
1770648171.470313,1.199793
1770648172.923918,1.453598
1770648173.346282,0.422362
1770648173.715464,0.369197
1770648174.463790,0.748257
1770648175.570312,1.106511
1770648176.793294,1.222937
1770648177.491650,0.698425
1770648177.871524,0.379897
1770648178.459710,0.588176
1770648178.829855,0.370166
1770648179.644786,0.814862
1770648180.207618,0.562871
1770648180.594171,0.386491
1770648181.711122,1.116952
1770648182.781964,1.070895
1770648183.172773,0.390807
1770648183.617175,0.444307
1770648184.390090,0.772984
1770648184.944081,0.553984
1770648185.306713,0.362657
1770648185.695183,0.388461
1770648186.151366,0.456167
1770648187.271786,1.120401
1770648188.352044,1.080283
1770648188.961822,0.609764
1770648189.498156,0.536327
1770648189.977615,0.479465
1770648190.560586,0.582944
1770648190.934602,0.374042
1770648191.465607,0.530979
1770648191.835777,0.370206
1770648192.830052,0.994178
1770648193.376389,0.546401
1770648193.952580,0.576218
1770648194.435277,0.482673
