timestamp,interval_seconds
1772008328.517192,0.954438
1772008329.284697,0.767881
1772008329.943155,0.658454
1772008330.622536,0.679382
1772008331.765517,1.142976
1772008332.544865,0.779343
1772008333.390745,0.845871
1772008334.263268,0.872542
1772008335.428891,1.165612
1772008336.228656,0.799774
1772008336.940721,0.712071
1772008337.713651,0.772915
1772008338.849006,1.135367
1772008339.752353,0.903341
1772008340.625360,0.873000
1772008341.488881,0.863532
1772008342.688745,1.199868
1772008343.576663,0.887911
1772008344.416658,0.839984
1772008345.186890,0.770249
1772008346.414130,1.227238
1772008347.145192,0.731059
1772008348.021845,0.876659
1772008348.912545,0.890681
1772008350.030427,1.117898
1772008350.956012,0.925583
1772008351.780699,0.824688
1772008352.594206,0.813506
1772008353.776866,1.182662
1772008354.618263,0.841395
1772008355.410079,0.791800
1772008356.059304,0.649241
1772008357.264124,1.204813
1772008358.039233,0.775118
1772008358.932749,0.893512
1772008359.748816,0.816069
1772008360.703759,0.954947
1772008361.450625,0.746859
1772008362.374377,0.923754
1772008363.024375,0.649986
1772008364.224823,1.200464
1772008365.020567,0.795742
1772008365.792187,0.771623
1772008366.683529,0.891342
1772008367.902131,1.218602
1772008368.605320,0.703183
1772008369.494889,0.889575
1772008370.313385,0.818491
1772008371.461765,1.148384
1772008372.217035,0.755264
1772008373.023949,0.806919
1772008373.790957,0.766991
1772008374.997984,1.207046
1772008375.916187,0.918198
1772008376.605460,0.689279
1772008377.475497,0.870036
1772008378.765255,1.289751
1772008379.488686,0.723439
1772008380.306873,0.818185
1772008381.057528,0.750657
1772008382.216345,1.158812
1772008383.048998,0.832654
1772008384.038739,0.989743
1772008384.921310,0.882569
1772008386.163585,1.242268
1772008387.020671,0.857094
1772008387.947265,0.926575
1772008388.745410,0.798165
1772008389.911661,1.166252
1772008390.766640,0.854976
1772008391.692147,0.925506
1772008392.763006,1.070862
1772008393.863845,1.100838
1772008394.870536,1.006691
1772008395.724666,0.854129
1772008396.574140,0.849475
1772008397.655437,1.081294
1772008398.509123,0.853686
1772008399.262849,0.753731
1772008400.132537,0.869686
1772008401.135628,1.003087
1772008402.058427,0.922802
1772008402.909699,0.851274
1772008403.853981,0.944279
1772008404.871501,1.017520
1772008405.729211,0.857695
1772008406.580520,0.851326
1772008407.281526,0.701007
1772008408.370161,1.088635
1772008409.190152,0.819988
1772008410.060344,0.870188
1772008410.925839,0.865497
1772008412.083914,1.158072
1772008412.934493,0.850585
1772008413.826349,0.891855
1772008414.731676,0.905320
1772008416.018599,1.286930
1772008416.776045,0.757435
1772008417.609741,0.833708
1772008418.508271,0.898531
1772008419.767120,1.258848
1772008420.642386,0.875270
1772008421.427790,0.785400
1772008422.182618,0.754828
1772008423.444536,1.261917
1772008424.223747,0.779213
1772008425.123442,0.899691
1772008425.997591,0.874150
1772008427.272691,1.275098
1772008428.055371,0.782684
1772008428.880202,0.824816
1772008429.892599,1.012408
1772008431.221239,1.328643
1772008431.885850,0.664615
1772008432.728404,0.842551
1772008433.553328,0.824921
1772008434.614441,1.061112
1772008435.526290,0.911852
1772008436.323604,0.797313
1772008437.219898,0.896295
1772008438.452816,1.232916
1772008439.320772,0.867958
1772008440.062957,0.742184
1772008441.082760,1.019803
1772008442.417109,1.334351
1772008443.180155,0.763045
1772008443.967057,0.786904
1772008444.837155,0.870095
1772008445.862795,1.025639
1772008446.693526,0.830735
1772008447.448197,0.754669
1772008448.357345,0.909151
1772008449.355471,0.998127
1772008450.237928,0.882457
1772008451.053805,0.815875
1772008451.865485,0.811682
1772008453.171191,1.305703
1772008454.027365,0.856175
1772008454.737860,0.710497
1772008455.543999,0.806137
