evolution rate,length lived,species population time,population
0.283333,49,130,2
0.298258,952,82903,87
0.330044,95,254,2
0.175263,90,336,3
0.240622,2710,186143,68
0.239536,151,1107,7
0.371046,266,1941,7
0.31205,360,9862,27
0.152402,549,16967,30
0.099892,514,29727,57
0.354309,79,101,1
0.236351,75,321,4
0.190361,131,821,6
0.098896,1029,65607,63
0.146136,1030,168419,163
0.178695,735,33219,45
0.080061,617,106334,172
0.067569,514,86344,167
0.189845,2955,387331,131
0.055244,526,35501,67
0.134511,513,163255,318
0.25411,79,83,1
0.147125,426,17584,41
0.091747,378,9747,25
0.159608,513,46256,90
0.19,93,1009,10
0.109503,264,1057,4
0.070547,1544,151819,98
0.137938,515,45000,87
0.14825,144,5089,35
0.153942,435,21098,48
0.261225,588,21066,35
0.235732,87,237,2
0.067086,259,2295,8
0.13599,109,115,1
0.319326,302,29757,98
0.390501,918,73404,79
0.1512,1029,206396,200
0.255375,115,553,4
0.213333,223,2229,9
0.234791,788,177522,225
0.372924,449,19098,42
0.353156,1486,191525,128
0.12788,71,106,1
0.055904,134,495,3
0.154987,514,27114,52
0.118045,160,294,1
0.252909,119,373,3
0.292802,233,11259,48
0.192798,40,80,2
0.181387,2793,201862,72
0.373002,99,103,1
0.143333,519,17207,33
0.131881,1029,72591,70
0.07854,514,72403,140
0.116086,229,4624,20
0.0883,602,36004,59
0.10233,514,41139,80
0.127049,765,48767,63
0.084064,294,17959,61
0.062627,512,51529,100
0.369305,819,35923,43
0.237714,279,5790,20
0.152205,79,141,1
0.398283,118,382,3
0.189194,296,18700,63
0.14182,288,16515,57
0.057416,212,9018,42
0.378496,80,96,1
0.102503,788,50158,63
0.116326,64,157,2
0.083473,121,5747,47
