timestamp,interval_seconds
1771379402.498342,0.486991
1771379402.926699,0.428711
1771379403.153114,0.226424
1771379403.441462,0.288353
1771379403.983178,0.541708
1771379404.677683,0.694492
1771379404.924134,0.246435
1771379405.242902,0.318768
1771379405.696193,0.453223
1771379406.528708,0.832587
1771379406.775083,0.246381
1771379407.331952,0.556776
1771379407.800917,0.469049
1771379408.082886,0.281971
1771379408.452927,0.370029
1771379409.179532,0.726504
1771379409.564838,0.385413
1771379409.828784,0.263935
1771379410.241091,0.412215
1771379410.847904,0.606896
1771379411.132592,0.284623
1771379411.586381,0.453802
1771379411.861473,0.275131
1771379412.341437,0.479947
1771379412.708318,0.366900
1771379413.218943,0.510616
1771379413.785953,0.566949
1771379414.103692,0.317809
1771379415.001057,0.897353
1771379415.642454,0.641395
1771379416.331812,0.689360
1771379416.678358,0.346534
1771379417.694000,1.015564
1771379418.027180,0.333244
1771379418.317355,0.290184
1771379418.897006,0.579636
1771379419.177703,0.280705
1771379419.583563,0.405862
1771379419.857562,0.273915
1771379420.840966,0.983481
1771379421.132066,0.291104
1771379421.704487,0.572408
1771379422.828067,1.123550
1771379423.252279,0.424146
1771379424.531335,1.279124
1771379424.772555,0.241231
1771379425.099629,0.327061
1771379425.456115,0.356488
1771379425.975374,0.519206
1771379426.287137,0.311814
1771379426.779551,0.492373
1771379427.286190,0.506665
1771379427.856420,0.570234
1771379428.109325,0.252857
1771379429.173897,1.064610
1771379429.689397,0.515501
1771379430.155152,0.465705
1771379430.671994,0.516876
1771379430.992565,0.320560
1771379431.583715,0.591120
1771379432.011069,0.427383
1771379433.012763,1.001688
1771379433.311329,0.298519
1771379433.614684,0.303413
1771379434.053625,0.438893
1771379434.740870,0.687271
1771379435.685018,0.944075
1771379436.026147,0.341182
1771379436.467976,0.441848
1771379436.904690,0.436661
1771379437.205630,0.300984
1771379437.451373,0.245738
