evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,694.3333333333334,34780.666666666664
0.054,107.0,109.0
0.055,238.0,1101.0
0.056,220.0,3058.0
0.062,1400.3333333333333,87659.0
0.072,77.0,104.0
0.073,1301.3333333333333,73844.66666666667
0.074,142.0,2329.0
0.079,99.0,103.0
0.081,238.0,560.0
0.085,1936.0,125647.66666666667
0.097,3319.5,222736.75
0.108,2789.8,180541.0
0.117,77.0,120.0
0.12,3768.3333333333335,261062.0
0.129,757.0,2287.0
0.141,102.0,113.0
0.143,4001.0,282937.3333333333
0.155,4001.0,275745.0
0.158,107.0,439.0
0.167,3166.8333333333335,203210.66666666666
0.168,301.0,6818.0
0.173,104.0,106.0
0.178,2115.5,136387.0
0.179,98.0,195.0
0.19,4001.0,269490.0
0.202,2180.0,142249.5
0.209,171.0,4712.0
0.213,3214.25,199546.5
0.214,102.0,104.0
0.221,238.0,580.0
0.225,4001.0,286466.0
0.228,87.0,93.0
0.233,129.0,198.0
0.237,2842.375,182509.5
0.244,47.0,50.0
0.248,4001.0,285992.0
0.254,92.0,102.0
0.256,92.0,107.0
0.259,238.0,6260.0
0.26,4001.0,287393.0
0.27,83.0,97.0
0.272,2298.2,148132.4
0.273,141.0,175.0
0.275,207.0,1707.0
0.283,4001.0,267292.0
0.29,124.0,198.0
0.295,4001.0,253030.66666666666
0.296,295.0,2122.0
0.298,129.0,156.0
0.299,162.0,414.0
0.307,1096.3333333333333,30424.333333333332
0.31,100.0,103.0
0.315,91.0,149.0
0.318,100.0,151.0
0.327,167.0,408.0
0.33,2065.0,135452.0
0.331,85.0,90.0
0.335,134.5,329.5
0.339,133.5,184.5
0.341,117.0,301.0
0.342,236.0,2194.0
0.349,236.0,1583.0
0.353,4001.0,279529.0
0.363,92.0,108.0
0.365,1855.0,62613.5
0.375,503.0,7506.0
0.377,1092.0,19408.0
0.383,280.0,8062.0
0.396,81.0,103.5
0.399,84.0,235.0
