enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
0.72,1014,0.162,4001.0,0.0434080414956188,0.07422963874476764,-10.587176022201344,y=4001*exp(-((x-0.162)^2)/(2*0.043408^2)) for x<=0.162; y=4001*exp(-((x-0.162)^2)/(2*0.0742296^2)) for x>0.162
0.73,1015,0.177,3237.0,0.05256701824796863,0.06951152271681071,-8.630417955379672,y=3237*exp(-((x-0.177)^2)/(2*0.052567^2)) for x<=0.177; y=3237*exp(-((x-0.177)^2)/(2*0.0695115^2)) for x>0.177
0.74,1016,0.209,4001.0,0.05913142975166284,0.06077702886601904,-13.708363443396983,y=4001*exp(-((x-0.209)^2)/(2*0.0591314^2)) for x<=0.209; y=4001*exp(-((x-0.209)^2)/(2*0.060777^2)) for x>0.209
0.75,1017,0.166,4001.0,0.04504982289567946,0.07003782769998536,-11.119087469954925,y=4001*exp(-((x-0.166)^2)/(2*0.0450498^2)) for x<=0.166; y=4001*exp(-((x-0.166)^2)/(2*0.0700378^2)) for x>0.166
0.76,1018,0.194,3471.5,0.052347371073742155,0.06517395546071023,-11.060141911646038,y=3471.5*exp(-((x-0.194)^2)/(2*0.0523474^2)) for x<=0.194; y=3471.5*exp(-((x-0.194)^2)/(2*0.065174^2)) for x>0.194
0.77,1019,0.23,4001.0,0.07010192697458427,0.051295944327086444,-12.872275169568852,y=4001*exp(-((x-0.23)^2)/(2*0.0701019^2)) for x<=0.23; y=4001*exp(-((x-0.23)^2)/(2*0.0512959^2)) for x>0.23
0.78,1020,0.204,3833.0,0.057938866459165024,0.06050246312173257,-11.777635097822644,y=3833*exp(-((x-0.204)^2)/(2*0.0579389^2)) for x<=0.204; y=3833*exp(-((x-0.204)^2)/(2*0.0605025^2)) for x>0.204
0.79,1021,0.179,4001.0,0.04769130692302602,0.06851485564062257,-11.892339059527265,y=4001*exp(-((x-0.179)^2)/(2*0.0476913^2)) for x<=0.179; y=4001*exp(-((x-0.179)^2)/(2*0.0685149^2)) for x>0.179
0.8,1022,0.113,2499.0,0.02652296372301869,0.0983183876502145,-4.79141807892835,y=2499*exp(-((x-0.113)^2)/(2*0.026523^2)) for x<=0.113; y=2499*exp(-((x-0.113)^2)/(2*0.0983184^2)) for x>0.113
0.81,1023,0.246,3147.0,0.07837125587895241,0.04766790901676318,-8.640491680018899,y=3147*exp(-((x-0.246)^2)/(2*0.0783713^2)) for x<=0.246; y=3147*exp(-((x-0.246)^2)/(2*0.0476679^2)) for x>0.246
0.82,1024,0.173,3881.0,0.04368447810125658,0.06969749661390422,-15.328971968684911,y=3881*exp(-((x-0.173)^2)/(2*0.0436845^2)) for x<=0.173; y=3881*exp(-((x-0.173)^2)/(2*0.0696975^2)) for x>0.173
0.83,1025,0.184,4001.0,0.05103990380578037,0.0657571859251445,-11.991095643159412,y=4001*exp(-((x-0.184)^2)/(2*0.0510399^2)) for x<=0.184; y=4001*exp(-((x-0.184)^2)/(2*0.0657572^2)) for x>0.184
0.84,1026,0.174,4001.0,0.04496073859887613,0.06990145480959378,-6.859323533789481,y=4001*exp(-((x-0.174)^2)/(2*0.0449607^2)) for x<=0.174; y=4001*exp(-((x-0.174)^2)/(2*0.0699015^2)) for x>0.174
0.85,1027,0.153,4001.0,0.038984211394268185,0.07473436778801713,-14.042920512958183,y=4001*exp(-((x-0.153)^2)/(2*0.0389842^2)) for x<=0.153; y=4001*exp(-((x-0.153)^2)/(2*0.0747344^2)) for x>0.153
0.86,1028,0.196,4001.0,0.05334607450037118,0.06368529178635816,-7.660907048668765,y=4001*exp(-((x-0.196)^2)/(2*0.0533461^2)) for x<=0.196; y=4001*exp(-((x-0.196)^2)/(2*0.0636853^2)) for x>0.196
0.87,1029,0.254,4001.0,0.07549516928060863,0.04664875919951179,-10.079071685822724,y=4001*exp(-((x-0.254)^2)/(2*0.0754952^2)) for x<=0.254; y=4001*exp(-((x-0.254)^2)/(2*0.0466488^2)) for x>0.254
0.88,1030,0.198,3402.0,0.05483006875323694,0.06562484553548076,-9.591756836345589,y=3402*exp(-((x-0.198)^2)/(2*0.0548301^2)) for x<=0.198; y=3402*exp(-((x-0.198)^2)/(2*0.0656248^2)) for x>0.198
0.89,1031,0.18,3272.0,0.04950104438684218,0.07218962780136841,-8.86738045908445,y=3272*exp(-((x-0.18)^2)/(2*0.049501^2)) for x<=0.18; y=3272*exp(-((x-0.18)^2)/(2*0.0721896^2)) for x>0.18
0.9,1032,0.223,3200.0,0.06605464835596427,0.05724833883254078,-10.511063004705067,y=3200*exp(-((x-0.223)^2)/(2*0.0660546^2)) for x<=0.223; y=3200*exp(-((x-0.223)^2)/(2*0.0572483^2)) for x>0.223
0.91,1033,0.215,2192.0,0.07328290404585248,0.06653381283462032,-4.3309603642475185,y=2192*exp(-((x-0.215)^2)/(2*0.0732829^2)) for x<=0.215; y=2192*exp(-((x-0.215)^2)/(2*0.0665338^2)) for x>0.215
0.92,1034,0.168,3801.0,0.0434313906751999,0.06943217803024793,-12.524544540065433,y=3801*exp(-((x-0.168)^2)/(2*0.0434314^2)) for x<=0.168; y=3801*exp(-((x-0.168)^2)/(2*0.0694322^2)) for x>0.168
0.93,1035,0.28,3622.0,0.08287931973905983,0.03781714899685044,-11.790367512324599,y=3622*exp(-((x-0.28)^2)/(2*0.0828793^2)) for x<=0.28; y=3622*exp(-((x-0.28)^2)/(2*0.0378171^2)) for x>0.28
0.94,1036,0.182,4001.0,0.050418088994593345,0.06666494033068446,-16.50576153341214,y=4001*exp(-((x-0.182)^2)/(2*0.0504181^2)) for x<=0.182; y=4001*exp(-((x-0.182)^2)/(2*0.0666649^2)) for x>0.182
0.95,1037,0.228,2707.0,0.07446153967079637,0.05484481444567165,-5.305281851426301,y=2707*exp(-((x-0.228)^2)/(2*0.0744615^2)) for x<=0.228; y=2707*exp(-((x-0.228)^2)/(2*0.0548448^2)) for x>0.228
0.96,1038,0.169,3970.0,0.04559700438638784,0.06987269982823635,-14.059294418807212,y=3970*exp(-((x-0.169)^2)/(2*0.045597^2)) for x<=0.169; y=3970*exp(-((x-0.169)^2)/(2*0.0698727^2)) for x>0.169
0.97,1039,0.278,3370.0,0.09047938435620878,0.040111700470733355,-10.792235822641436,y=3370*exp(-((x-0.278)^2)/(2*0.0904794^2)) for x<=0.278; y=3370*exp(-((x-0.278)^2)/(2*0.0401117^2)) for x>0.278
0.98,1040,0.166,2510.5,0.04974062598976161,0.07749150905517072,-4.806661583994777,y=2510.5*exp(-((x-0.166)^2)/(2*0.0497406^2)) for x<=0.166; y=2510.5*exp(-((x-0.166)^2)/(2*0.0774915^2)) for x>0.166
0.99,1041,0.212,2745.0,0.06610641010666728,0.06479276718729417,-5.818914042849982,y=2745*exp(-((x-0.212)^2)/(2*0.0661064^2)) for x<=0.212; y=2745*exp(-((x-0.212)^2)/(2*0.0647928^2)) for x>0.212
1.0,1042,0.173,3208.5,0.04867434424543935,0.07226631576044162,-8.4825741613911,y=3208.5*exp(-((x-0.173)^2)/(2*0.0486743^2)) for x<=0.173; y=3208.5*exp(-((x-0.173)^2)/(2*0.0722663^2)) for x>0.173
