timestamp,interval_seconds
1772003917.585948,0.968925
1772003918.347570,0.761797
1772003919.230018,0.882448
1772003920.099853,0.869829
1772003921.137331,1.037478
1772003922.030780,0.893452
1772003922.885367,0.854569
1772003923.851534,0.966164
1772003925.074689,1.223175
1772003925.781370,0.706675
1772003926.623521,0.842145
1772003927.476575,0.853068
1772003928.601822,1.125249
1772003929.321510,0.719672
1772003930.183210,0.861717
1772003931.010409,0.827197
1772003932.245514,1.235105
1772003933.083404,0.837870
1772003933.879220,0.795837
1772003934.765948,0.886726
1772003935.917922,1.151976
1772003936.572376,0.654453
1772003937.431819,0.859420
1772003938.183775,0.751973
1772003939.288781,1.105008
1772003940.151094,0.862313
1772003940.993721,0.842628
1772003941.938806,0.945082
1772003942.956907,1.018115
1772003943.371898,0.414993
1772003944.036755,0.664841
1772003944.445219,0.408480
1772003945.252531,0.807307
1772003945.692215,0.439672
1772003946.176556,0.484359
1772003946.538046,0.361490
1772003947.295473,0.757427
1772003947.882445,0.586960
1772003948.316820,0.434387
1772003948.757652,0.440820
1772003949.449970,0.692327
1772003949.998182,0.548216
1772003950.378622,0.380440
1772003950.930409,0.551783
1772003951.473872,0.543465
1772003952.060103,0.586218
1772003952.512395,0.452304
1772003953.211055,0.698660
1772003954.065923,0.854858
1772003954.470606,0.404695
1772003955.086794,0.616187
1772003955.514180,0.427376
1772003956.333399,0.819228
1772003956.871702,0.538291
1772003957.692845,0.821145
1772003958.556392,0.863536
1772003959.652615,1.096235
1772003960.432050,0.779426
1772003961.210374,0.778314
1772003962.054003,0.843649
1772003963.267525,1.213507
1772003964.125934,0.858406
1772003964.937806,0.811888
1772003965.708505,0.770702
1772003966.958662,1.250142
1772003967.772812,0.814164
1772003968.576464,0.803651
1772003969.379929,0.803450
1772003970.563235,1.183325
1772003971.310713,0.747480
1772003972.227592,0.916873
1772003972.954555,0.726948
1772003973.934891,0.980355
1772003974.599493,0.664604
1772003975.475234,0.875735
1772003976.190239,0.715010
1772003977.267722,1.077480
1772003978.098973,0.831235
1772003978.940662,0.841701
1772003979.768286,0.827630
1772003981.001853,1.233568
1772003981.886480,0.884630
1772003982.776326,0.889843
1772003983.690100,0.913769
1772003984.874869,1.184754
1772003985.709260,0.834411
1772003986.575162,0.865897
